iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.297952718021677,0.0886118224382647,0.3261587371365393
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.04816382290917235,0.08402308493195045,0.07490920151067247
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.1702550877500612,0.07797256891072088,0.19507452728549055
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16357623601284318,0.07382312766632135,0.18707486737804138
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.19032655809901275,0.07228049091569402,0.21333415293569583
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.022751069169401724,0.07297857544751342,0.0459808712139549
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03899084252215153,0.07293593643797083,0.062207072148430215
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.032455008863720256,0.07317070173021122,0.05574596660345188
9,494.02,0.50636,99.313,12.387,4.517e-06,0.021450496222331306,0.07320856637821338,0.044753506653858896
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.0187350377174518,0.07307719249023623,0.04199623054164986
11,455.66,0.58146,102.25,13.326,8.357e-06,0.020770317196490716,0.07315261019613337,0.04405551622206913
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.017268531387699695,0.07314637644114716,0.04055174614743796
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.019807268407298323,0.07312248015150143,0.04308287674179924
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.06256712836491574,0.07318318435519641,0.08586205944758568
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.0162612481838682,0.07315944154144557,0.03954862169419543
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.017192014992024572,0.0730628288896901,0.040448635740167604
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.017595167205206572,0.07306624898439619,0.040852876603306235
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.015766052936189674,0.07309220250466672,0.039032023596372714
19,302.32,0.50201,75.631,12.165,7.615e-08,0.045353205894816256,0.07295142256624872,0.0685743649088245
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.023988996516354912,0.07313458684672905,0.04726845853163579
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.016571059881770503,0.07311379060578777,0.03984390224796431
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.017168703478259845,0.07314129854745983,0.04045030189423644
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.028780872893909997,0.073230664292336,0.05209091730996686
24,447.61,0.55455,95.569,10.085,4.8432e-06,0.018995673743991814,0.07299796863986609,0.04223164883339551
25,468.31,0.50973,101.2,15.953,2.7644e-06,0.015012256716082391,0.07315023699650908,0.03829670032875851
26,472.95,0.50022,100.1,14.985,2.6672e-06,0.015622969101123997,0.07315993579212544,0.038910499936328884
27,460.73,0.51702,98.837,15.315,2.3645e-06,0.01489699395880339,0.07311745868983596,0.03817100391241309
28,443.43,0.52069,103.03,15.98,2.5105e-06,0.017603388677497212,0.07305055622020051,0.040856102913611844
29,479.36,0.50002,100.61,15.499,2.7227e-06,0.015325448294797307,0.07317392097260442,0.038617430751208714
30,432.05,0.55958,104.15,15.982,3.5498e-06,0.019936577744962814,0.0730388731723311,0.04318557315143985
31,490.64,0.50988,114.47,14.942,1.1376e-05,0.016322274482763865,0.07308674507082755,0.03958650798780271
32,362.95,0.57257,87.65,15.982,1.9686e-07,0.020903022290915417,0.07307431413808455,0.04416329890716768
33,468.21,0.53796,100.03,15.913,3.5272e-06,0.016430928905194764,0.07318170663334189,0.03972538961438938
34,449.07,0.50743,98.395,12.421,2.7926e-06,0.015724776477712574,0.07310374098950237,0.03899441995169038
35,479.59,0.50052,99.677,15.997,2.7414e-06,0.015601502284864602,0.07318773791949856,0.03889788281206929
