Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
556.89,393.89,63.626,344.15,139.26,114.75,62.37,10.997,0.12166,0.26668,0.13032,0.10983,0.35324,0.022982,0.026697,0.10051,0.1162,1.248113918929675
556.89,393.71,40.363,351.26,146.27,117.16,62.075,10.898,0.12207,0.26649,0.13092,0.10837,0.37236,0.022902,0.026289,0.10146,0.11712,1.2679826511103691
557.38,393.68,41.336,346.29,142.57,118.51,62.412,10.875,0.12206,0.26654,0.131,0.10852,0.37215,0.02298,0.026433,0.10144,0.11697,1.2680925979023367
554.61,393.68,41.251,346.02,148.79,119.42,62.307,10.866,0.12189,0.26659,0.1308,0.10864,0.37382,0.022919,0.026323,0.10138,0.1174,1.2697609445995783
556.93,393.71,40.428,342.7,146.21,116.64,62.198,10.896,0.12193,0.26669,0.13089,0.10883,0.3775,0.022942,0.026293,0.10147,0.11741,1.2739620813280026
554.06,408.8,39.714,344.49,145.97,116.62,62.024,10.892,0.12184,0.26679,0.13093,0.10855,0.38286,0.023098,0.026342,0.10127,0.11695,1.2786245403836611
564.38,394.4,40.427,342.14,145.26,116.39,62.681,10.896,0.12198,0.26668,0.131,0.1089,0.38553,0.022982,0.026318,0.10163,0.11763,1.2826701198977348
557.04,393.68,65.361,343.6,142.92,126.58,61.522,10.735,0.12148,0.26661,0.13055,0.10965,0.38767,0.023264,0.026605,0.10054,0.11653,1.2829103880874955
557.43,393.64,65.721,348.34,146.43,120.98,60.557,10.816,0.12147,0.26661,0.13032,0.11014,0.38908,0.023103,0.026373,0.10047,0.11672,1.2842817718499044
564.11,394.4,40.415,342.82,145.26,116.36,61.912,10.854,0.12197,0.26668,0.13111,0.10895,0.38781,0.023035,0.026196,0.10169,0.11778,1.2852211420219004
