Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
620.64,0.4603,119.76,6.7996,0.12718,0.093107,0.031389,0.26003,0.77131,0.1149,0.14607,0.029278,0.13193,1.7051974252439939
609.41,0.41914,124.58,6.941,0.12701,0.093466,0.029977,0.25993,0.8831,0.11482,0.19217,0.029736,0.13215,1.8623573926852262
615.79,0.46376,124.23,6.7826,0.1273,0.093316,0.031351,0.25993,0.94589,0.11491,0.13099,0.029449,0.13203,1.8651717986417773
610.08,0.4638,124.11,6.7467,0.12744,0.09347,0.031583,0.25982,0.919,0.11489,0.16471,0.029511,0.13218,1.8726157695530803
625.85,0.46433,119.52,6.7507,0.12735,0.093071,0.031835,0.26002,0.7828,0.11492,0.35079,0.029246,0.13198,1.9220177956777684
616.6,0.46725,124.27,6.7814,0.12729,0.093284,0.031367,0.25995,0.97311,0.11492,0.16079,0.029425,0.132,1.9221363892539338
624.96,0.40498,118.47,7.0714,0.1266,0.092994,0.029469,0.26022,0.83095,0.11483,0.30996,0.029528,0.13176,1.9263062410035197
623.53,0.4301,123.59,6.9297,0.12696,0.093163,0.030297,0.26008,0.94235,0.11489,0.21491,0.029549,0.13189,1.9440823716573528
602.46,0.45834,124.44,6.7416,0.12751,0.093651,0.03154,0.25972,0.97273,0.11486,0.20758,0.029621,0.13234,1.9695524677446383
615.19,0.45336,124.23,6.7761,0.12738,0.093405,0.0314,0.25986,0.9032,0.11489,0.28309,0.029525,0.13213,1.974894131301731
