Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1291.8,0.19598,123.76,4.3783,0.055024,0.13299,0.22616,0.10721,0.070613,0.054411,0.6464046427580084
1288.7,0.19591,123.62,4.3769,0.055018,0.13296,0.22733,0.10722,0.070623,0.054399,0.6475500534635591
1282.8,0.1961,123.04,4.3801,0.055027,0.13289,0.23352,0.10713,0.070629,0.054346,0.6535430016396114
1872.4,0.0332,135.6,6.5874,0.061641,0.11964,0.25948,0.092305,0.074927,0.049545,0.6575394473251167
1291.2,0.19016,123.78,4.5326,0.055576,0.13196,0.24194,0.10524,0.070586,0.05384,0.6591470121260397
1293.5,0.1991,122.53,4.3809,0.055035,0.13303,0.24289,0.10709,0.070554,0.054389,0.662989829655047
1292.5,0.19481,126.17,4.3382,0.054895,0.13324,0.24309,0.10789,0.070691,0.054626,0.664430446657513
1294.4,0.19329,124.32,4.4723,0.055348,0.13242,0.24653,0.10603,0.070581,0.054089,0.6649939159764947
1320.5,0.1985,122.28,4.2349,0.054614,0.13415,0.24526,0.10913,0.070609,0.055113,0.6688822356130398
1285.7,0.19549,123.06,4.347,0.054921,0.1331,0.25269,0.10759,0.07065,0.054486,0.6734330827813036
