Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1620.9,0.1269,158.15,4.0142,0.053104,0.13603,0.14787,0.118,0.071431,0.058394,0.5848368414576226
1620.9,0.12689,158.18,4.0136,0.053105,0.13604,0.148,0.11802,0.071435,0.058401,0.5849979549114925
1538.9,0.12052,161.36,4.1637,0.05283,0.13245,0.16308,0.11466,0.071203,0.056111,0.590336343776426
1636.3,0.12798,158.18,4.0116,0.053173,0.13646,0.15587,0.11824,0.071405,0.058682,0.5938336538782946
1576.4,0.11964,161.57,4.1754,0.052936,0.13355,0.17034,0.11507,0.071015,0.056687,0.5996020436664281
1597.6,0.12019,160.93,4.1574,0.052988,0.13431,0.17178,0.11561,0.070984,0.057127,0.6027965558644673
1797.1,0.12747,158.86,4.02,0.053911,0.14086,0.16029,0.12058,0.07119,0.061554,0.6083868632351125
1535.2,0.12797,157.51,3.9421,0.052826,0.13403,0.17888,0.11805,0.072011,0.057386,0.613190243409324
1465.0,0.12688,156.92,3.968,0.052542,0.13153,0.18938,0.11639,0.072147,0.055917,0.6179109177232245
1621.4,0.12692,157.97,4.0831,0.053045,0.13547,0.18849,0.11659,0.071102,0.05783,0.6225317259169667
