Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1179.1,0.20447,123.68,18.655,0.062291,0.1302,0.055878,0.19375,0.084425,0.070889,0.5974394914746893
1173.4,0.20548,123.26,18.621,0.0623,0.13022,0.055876,0.19382,0.084424,0.070897,0.5975323116423784
1173.1,0.20551,123.26,18.727,0.06228,0.13024,0.055876,0.1942,0.084411,0.070914,0.5979267982531454
1173.4,0.20548,123.22,18.712,0.062283,0.13024,0.055876,0.19433,0.084411,0.070916,0.5980611307734112
1128.6,0.21526,123.57,18.804,0.062268,0.13026,0.05589,0.19467,0.084448,0.070876,0.5984154883061406
1172.3,0.20479,123.65,18.805,0.062271,0.13022,0.055877,0.1948,0.084434,0.070881,0.598479215020147
1197.3,0.19949,124.12,18.725,0.062273,0.13016,0.055873,0.19561,0.084448,0.070852,0.5992224467740619
1183.2,0.20413,123.68,18.554,0.062306,0.13019,0.055878,0.19554,0.084424,0.070888,0.5992300116800404
1200.9,0.20014,123.43,18.84,0.062244,0.13026,0.05587,0.19571,0.084377,0.070951,0.5994078232223208
1200.7,0.20034,123.26,18.84,0.062246,0.13027,0.055869,0.19626,0.084367,0.070966,0.5999754609675985
