Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g262),Error (g80),Error (g126),Error (g237),Error (g223),Error (curve),Error (g51),Error (g72),Reduced Error
1077.5,0.48381,181.24,1.716,0.12426,0.11883,0.25528,0.1659,0.1838,0.26776,0.51275,0.18256,0.10153,1.912673158559407
1049.0,0.4969,188.48,1.698,0.12446,0.11902,0.25529,0.16643,0.18441,0.25563,0.53093,0.18301,0.10154,1.9207039161580506
1254.6,0.46148,183.2,1.574,0.12559,0.12099,0.25499,0.16915,0.18722,0.21655,0.59662,0.18586,0.10242,1.9593815537322667
1257.7,0.46551,181.9,1.57,0.12563,0.12107,0.25498,0.16921,0.1873,0.21108,0.60216,0.18598,0.10243,1.9598200125516134
1255.8,0.46006,181.0,1.5758,0.12557,0.12096,0.255,0.16908,0.18717,0.21709,0.59887,0.18582,0.10247,1.9620189053057786
1257.1,0.45954,182.41,1.5754,0.12557,0.12097,0.255,0.16911,0.18718,0.21811,0.59793,0.18582,0.10244,1.9621366732829995
1144.6,0.54502,180.9,1.5606,0.12577,0.12124,0.25489,0.16937,0.18753,0.20293,0.61128,0.18634,0.10281,1.9621492973236823
1256.9,0.45935,182.42,1.5773,0.12555,0.12094,0.255,0.16906,0.18714,0.22096,0.59606,0.18578,0.10244,1.9629350782808652
1257.7,0.45957,182.41,1.5684,0.12563,0.12109,0.255,0.16928,0.18735,0.21059,0.60937,0.18598,0.10234,1.9666212302603923
1266.0,0.45988,182.41,1.5683,0.12564,0.1211,0.25498,0.16927,0.18734,0.21078,0.61073,0.186,0.10233,1.9681749884068955
