Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760237
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760256
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760256
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760256
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760256
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760256
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760256
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760261
1679.2,0.25064,165.65,2.6007,0.014247,0.014246619257760279
1679.2,0.25064,165.65,2.6007,0.014247,0.01424661925776028
