Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3568.4,5.4359,485.9,5.7156,0.15206,0.06315,0.11962,0.16405,0.71164,0.1194,2.0615,0.10927,0.067576,3.568262369999796
3578.1,5.4328,487.4,5.7146,0.15164,0.063177,0.11959,0.16418,0.67751,0.11931,2.0984,0.10925,0.067579,3.570652259158347
3567.7,5.3878,483.9,5.7215,0.15219,0.063158,0.11968,0.16407,0.71935,0.11946,2.0574,0.10917,0.067567,3.5720252438735876
3569.7,5.4512,486.74,5.7138,0.15197,0.063147,0.11959,0.16406,0.70703,0.11936,2.0702,0.1093,0.067583,3.57226469539256
3567.4,5.3907,483.74,5.7196,0.1522,0.063175,0.11971,0.16405,0.71314,0.11951,2.0681,0.10918,0.067549,3.576620679399797
3568.6,5.3869,483.49,5.7359,0.15224,0.063128,0.1197,0.1641,0.72807,0.11941,2.0558,0.10906,0.067591,3.579128308193585
3561.9,5.4077,483.71,5.728,0.15245,0.063106,0.11967,0.164,0.73937,0.11944,2.0449,0.10909,0.06759,3.579602632698745
3560.6,5.4254,483.95,5.7278,0.15249,0.063109,0.11967,0.16396,0.73665,0.11946,2.0487,0.10911,0.067583,3.580763341709341
3560.1,5.4272,483.81,5.7276,0.15252,0.063112,0.11968,0.16395,0.73517,0.11949,2.0513,0.1091,0.067575,3.5818435407990323
3569.8,5.3852,483.81,5.7172,0.15209,0.063201,0.11972,0.16408,0.7044,0.11953,2.0947,0.10921,0.067535,3.59446748362801
