Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1988.4,0.17351,152.97,5.3215,0.12762,0.099668,0.064448,0.037291,0.1111,0.15467,0.13397,0.21864,0.046266,0.9936809399576837
1979.5,0.17451,152.85,5.398,0.12795,0.09985,0.063869,0.036804,0.11108,0.16339,0.13397,0.21862,0.046357,1.0018768428228038
1983.6,0.17327,152.62,5.3654,0.12782,0.099777,0.064095,0.036994,0.11108,0.16335,0.13397,0.21863,0.046323,1.002027027489297
1987.7,0.17409,151.48,5.4115,0.12803,0.09986,0.063777,0.036737,0.11106,0.17094,0.13397,0.21861,0.046341,1.0093351675748714
1996.5,0.17078,152.43,5.507,0.12834,0.10011,0.063081,0.036132,0.11103,0.17172,0.13394,0.21859,0.046502,1.0094555021323999
1980.0,0.17623,152.67,5.3262,0.12767,0.099656,0.064444,0.037304,0.1111,0.17042,0.13399,0.21863,0.046241,1.009460524475938
1996.9,0.16886,152.41,5.7811,0.12907,0.10061,0.061427,0.03475,0.111,0.17436,0.13384,0.21857,0.046892,1.0105120271618606
1997.5,0.16891,152.63,5.7747,0.12905,0.10061,0.061465,0.034777,0.111,0.17459,0.13383,0.21857,0.046886,1.0107813671008823
1999.7,0.16929,152.15,5.8257,0.1292,0.10067,0.061182,0.034574,0.11097,0.17605,0.13384,0.21856,0.046929,1.0119723527324664
1999.4,0.16913,152.15,5.8407,0.12923,0.1007,0.061095,0.034506,0.11097,0.17674,0.13383,0.21856,0.046952,1.0125796017760587
