Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1772.3,0.13675,117.97,11.193,0.40204,0.086134,0.068418,0.06514,0.12854,0.055463,0.8057294910801213
1717.8,0.1388,119.36,10.968,0.4027,0.086252,0.068415,0.065364,0.12856,0.055355,0.8066461967469376
1753.1,0.1371,119.02,11.115,0.403,0.086215,0.068354,0.065229,0.12849,0.055426,0.8067091761899418
1737.4,0.13753,119.31,11.078,0.40325,0.086221,0.068359,0.065284,0.12846,0.055403,0.8069759964573239
1727.5,0.13877,119.29,10.967,0.40313,0.086262,0.068419,0.065341,0.1286,0.055364,0.807122325387289
1720.3,0.13777,119.59,10.84,0.40301,0.086349,0.06841,0.065453,0.12868,0.055301,0.8071982790464842
1718.4,0.13876,119.24,10.993,0.40342,0.086229,0.068421,0.06535,0.12854,0.055364,0.8073187738062215
1753.9,0.13784,118.88,11.136,0.40364,0.086191,0.068373,0.065199,0.12849,0.055438,0.8073361946184296
1717.9,0.13852,119.51,10.864,0.4032,0.086322,0.068425,0.065429,0.12866,0.055312,0.8073483285258161
1718.5,0.13851,119.35,10.979,0.40352,0.086248,0.068407,0.065362,0.12854,0.055358,0.8074340821968987
