Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
352.72,979.14,76.235,3.597,0.094236,0.1383,0.040505,0.12071,0.21811,0.11827,0.078143,0.51642,0.095632,1.420328601459684
352.8,954.71,76.817,3.595,0.093979,0.13828,0.040617,0.12034,0.21817,0.11835,0.077686,0.53288,0.095783,1.4360892798902318
338.58,981.26,76.204,3.709,0.092881,0.13808,0.040836,0.1199,0.21772,0.11885,0.07639,0.53819,0.095115,1.4379558405581365
352.74,979.82,76.404,3.5666,0.09466,0.13838,0.040444,0.12088,0.21819,0.11813,0.078762,0.53691,0.095546,1.4419059580145068
344.39,969.35,76.711,3.6283,0.093714,0.13823,0.040713,0.12021,0.21799,0.11849,0.077489,0.54412,0.09547,1.446425638311733
347.82,953.92,77.353,3.6001,0.093919,0.13828,0.040694,0.1202,0.21812,0.11838,0.077685,0.55378,0.095634,1.4566990895545917
341.56,941.42,77.419,3.62,0.093477,0.13823,0.040869,0.11974,0.21806,0.11857,0.077085,0.55745,0.095496,1.4589767245829421
341.57,870.29,77.244,3.6417,0.092134,0.13812,0.041297,0.11831,0.21821,0.11907,0.074803,0.56217,0.095798,1.4599180693269411
348.37,871.61,77.247,3.5963,0.09277,0.1382,0.041118,0.11875,0.21836,0.11879,0.075657,0.58203,0.095968,1.4816510201929542
362.65,873.98,76.536,3.509,0.093958,0.13835,0.040762,0.1196,0.2187,0.11828,0.077166,0.59716,0.096546,1.5005230003311305
