Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
0.86361,0.37712,431.59,4.3352,0.1046,0.12594,0.083079,0.16694,1.5177,0.1982,0.092164,0.16501,0.22829,2.681920514342161
0.86664,0.37799,429.13,4.3393,0.10462,0.12597,0.082922,0.16689,1.5189,0.19817,0.092038,0.16489,0.22783,2.6822779484169166
0.8694,0.39697,429.46,4.3419,0.10508,0.12578,0.082576,0.16677,1.5241,0.19774,0.091656,0.16537,0.22463,2.68368863163936
0.88693,0.40129,433.78,4.3359,0.10521,0.12579,0.082446,0.16676,1.5266,0.19767,0.091512,0.16553,0.22366,2.6852146854360917
0.84357,0.397,429.58,4.341,0.10504,0.12564,0.082955,0.16685,1.5255,0.19779,0.091969,0.16558,0.22571,2.6870828754671416
0.84865,0.39778,429.77,4.3448,0.10509,0.12564,0.082804,0.1668,1.527,0.19772,0.091846,0.1655,0.22508,2.6875100396946134
0.83655,0.40805,430.31,4.3396,0.10527,0.1255,0.082944,0.16682,1.5308,0.19759,0.091904,0.16598,0.22454,2.69133094868915
0.87078,0.37602,427.65,4.3524,0.10464,0.12595,0.082637,0.1668,1.5305,0.19807,0.091835,0.16454,0.22692,2.691918334376272
0.91324,0.39279,433.38,4.3365,0.10505,0.12602,0.082217,0.16673,1.5354,0.19792,0.091353,0.16505,0.22393,2.693637537115494
0.88417,0.34396,427.15,4.3401,0.10379,0.12647,0.083202,0.16704,1.5317,0.19903,0.092454,0.16366,0.23287,2.700181649801951
