Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1486.2,0.17844,123.07,5.0402,0.10928,0.05133,0.10136,0.27047,0.13717,0.031774,0.25308,0.11399,0.13602,1.2044698111581076
1486.0,0.17726,123.3,4.975,0.10912,0.052269,0.10191,0.27306,0.13746,0.032042,0.25274,0.11394,0.13648,1.2090218501822663
1493.0,0.17844,123.08,4.9775,0.10911,0.052301,0.10187,0.27373,0.13741,0.032011,0.25275,0.11394,0.13648,1.2095998164650192
1484.7,0.17836,124.14,5.0316,0.10916,0.051413,0.10145,0.27639,0.13722,0.031863,0.25302,0.11399,0.13606,1.2105640333167618
1514.0,0.17546,122.65,5.1927,0.10948,0.04904,0.10014,0.28375,0.13655,0.031284,0.25387,0.11409,0.13502,1.2132297824081508
1514.1,0.17546,122.65,5.1956,0.10948,0.048999,0.10012,0.28397,0.13654,0.031276,0.25388,0.1141,0.135,1.2133577191808602
1473.1,0.17848,123.1,5.0307,0.10922,0.051427,0.10144,0.27912,0.13724,0.031819,0.25305,0.11399,0.13607,1.2133621667698091
1516.3,0.17546,122.63,5.1925,0.1095,0.049052,0.10013,0.28417,0.13655,0.031279,0.25387,0.11409,0.13502,1.2136670221615358
1476.4,0.17758,123.33,5.0232,0.10924,0.05152,0.10151,0.27938,0.13728,0.031858,0.253,0.11398,0.13612,1.2138874446745023
1517.1,0.17542,122.62,5.1925,0.10951,0.049054,0.10013,0.28446,0.13655,0.031277,0.25387,0.11409,0.13502,1.2139612482024078
