Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1484.0,0.96765,183.73,1.0904,0.3498,0.12928,0.14335,0.1793,0.19292,0.22414,0.1665,0.19951,0.136,1.7207935880982341
1484.3,0.94078,181.14,1.1193,0.36082,0.12832,0.14119,0.1786,0.19204,0.22406,0.16413,0.19825,0.13523,1.722643005704352
1471.7,0.983,183.48,1.0916,0.35454,0.12923,0.14339,0.17933,0.19295,0.22414,0.16454,0.1995,0.136,1.723628420422557
1459.5,0.99396,182.03,1.0902,0.35498,0.12936,0.14369,0.17944,0.19308,0.22415,0.16367,0.19969,0.1361,1.7241587671059668
1461.9,0.99382,182.4,1.0957,0.35991,0.12911,0.14321,0.17928,0.19289,0.22413,0.16291,0.19939,0.13593,1.7267702864943748
1459.8,0.99668,183.92,1.0918,0.36671,0.1292,0.1435,0.17937,0.19301,0.22413,0.16266,0.19952,0.13603,1.734122330238134
1459.2,1.0026,182.16,1.0825,0.36477,0.12966,0.14429,0.17964,0.19333,0.22418,0.16439,0.20005,0.13632,1.7366164068233079
1459.4,1.0148,180.58,1.0809,0.364,0.12976,0.14444,0.1797,0.1934,0.2242,0.16468,0.20018,0.13639,1.7367394154839382
1498.8,0.96712,183.73,1.0905,0.36684,0.12924,0.14316,0.17923,0.19285,0.22415,0.16778,0.19942,0.13595,1.7386140211068923
1466.8,1.014,180.6,1.0792,0.36541,0.12981,0.14448,0.17972,0.19342,0.22421,0.16568,0.20022,0.13641,1.7393645174085393
