Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
876.75,0.49859,158.69,2.923,0.15333,0.46854,0.2482,0.094242,0.17916,0.17863,0.071829,0.15708,0.1022,1.6532126234276936
890.16,0.50219,158.31,2.8923,0.15376,0.47371,0.24789,0.094114,0.17932,0.17847,0.072078,0.15749,0.10242,1.6592462365372447
892.04,0.49851,158.82,2.9114,0.15355,0.47477,0.24798,0.094193,0.17914,0.17857,0.071946,0.15727,0.1023,1.6597290684559898
867.73,0.50013,160.46,2.9235,0.15329,0.47488,0.24833,0.094217,0.17928,0.17864,0.07183,0.15706,0.10221,1.659747827185566
867.82,0.50013,160.52,2.9235,0.15329,0.47503,0.24833,0.094217,0.17928,0.17864,0.071831,0.15706,0.10221,1.659892251373048
867.29,0.49987,160.44,2.922,0.15331,0.47597,0.24834,0.094215,0.1793,0.17864,0.071838,0.15708,0.10222,1.6608937920987792
867.64,0.50124,160.46,2.9341,0.15318,0.47825,0.24836,0.094236,0.17917,0.17869,0.071762,0.15694,0.10214,1.662720076508638
866.13,0.49969,160.62,2.9213,0.15331,0.47867,0.24835,0.094212,0.17932,0.17864,0.071842,0.15708,0.10222,1.6636471588677597
877.15,0.49871,158.75,2.9496,0.15304,0.48011,0.24828,0.094286,0.1789,0.17875,0.071656,0.15678,0.10204,1.6638463948176612
866.93,0.49993,160.44,2.9304,0.15321,0.47926,0.24837,0.094233,0.17922,0.17868,0.071782,0.15698,0.10216,1.6638907370266942
