Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1956.2,0.25361,193.0,1.3969,0.19115,0.12473,0.75651,0.17303,0.25435,0.19069,0.2003,0.10606,0.12738,2.124197210496359
1984.5,0.15936,191.02,1.7022,0.18459,0.11906,0.82111,0.16608,0.25506,0.18298,0.21119,0.10406,0.12477,2.168906940865968
1530.3,0.35462,197.58,1.4845,0.18939,0.12208,0.86582,0.17122,0.25489,0.18783,0.25553,0.10443,0.1263,2.277491614039857
1532.7,0.3553,196.45,1.4866,0.18932,0.12202,0.86521,0.17115,0.2549,0.18777,0.25677,0.1043,0.12627,2.2777084787692563
1544.2,0.35086,187.76,1.6734,0.18515,0.11903,0.8469,0.16675,0.25514,0.18353,0.29302,0.10405,0.12484,2.2783992321409574
1531.9,0.35174,196.61,1.4912,0.18921,0.12191,0.84926,0.17104,0.25491,0.18765,0.27481,0.10431,0.12622,2.2793322676620025
1532.6,0.35517,196.6,1.4901,0.18924,0.12193,0.85364,0.17106,0.2549,0.18768,0.27061,0.10427,0.12624,2.279567546802513
1529.1,0.35508,197.82,1.478,0.18956,0.12224,0.88482,0.1714,0.25488,0.188,0.23781,0.10455,0.12637,2.2796309344628987
1528.7,0.35671,197.21,1.4792,0.18952,0.1222,0.88529,0.17135,0.25488,0.18797,0.23912,0.10448,0.12635,2.281170047683993
1531.2,0.35853,197.18,1.4812,0.18946,0.12216,0.88128,0.17129,0.25488,0.18792,0.24402,0.10441,0.12634,2.281744631286555
