param_type,param_name,base,in_u_bound,out_u_bound,out_l_bound,in_l_bound
input,cp_tau_s,10,3.2902127469195284,1,0,2.354991502978481
input,cp_b,10,1.2956770340174648,1,0,-1.8711808578054894
input,cp_tau_0,10,2.6912848818232695,1,0,0.4153573617237575
input,cp_n,10,1.2636834005571924,1,0,0.4239827296771757
input,average_strain,10,-0.5461162220128769,1,0,-2.1224501347392706
output,average_stress,10,3.725985096952106,1,0,0.9354316859628339
output,g59_phi_1,10,0.2822821563190965,1,0,0.22690908496548198
output,g59_Phi,10,0.3650384821957054,1,0,0.3409197934001626
output,g59_phi_2,10,0.6490621218464678,1,0,0.6327608884794388
output,g63_phi_1,10,0.3242824552976926,1,0,0.269956351932952
output,g63_Phi,10,0.4866712931924322,1,0,0.4418678766638016
output,g63_phi_2,10,0.6051649285461197,1,0,0.5750376639569877
output,g86_phi_1,10,0.32586443661534614,1,0,0.31251585566338685
output,g86_Phi,10,0.2855123020662439,1,0,0.25503116334555137
output,g86_phi_2,10,0.5728948258833766,1,0,0.558180377720982
output,g237_phi_1,10,0.33639968898608347,1,0,0.3346346694963521
output,g237_Phi,10,0.3632734366904591,1,0,0.3397693437687301
output,g237_phi_2,10,0.6224212739756703,1,0,0.612932127083471
output,g303_phi_1,10,0.4201208480857029,1,0,0.40329214515825423
output,g303_Phi,10,0.3261924381277723,1,0,0.30085624311839365
output,g303_phi_2,10,0.6705334315349101,1,0,0.6501714811836143
