Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
632.57,0.45327,121.1,4.9081,0.13859,0.10517,0.058737,0.25145,0.64677,0.11281,0.11648,0.034438,0.13997,1.6044159339276043
632.34,0.47437,120.58,4.9664,0.1377,0.10444,0.057122,0.2516,0.70176,0.11284,0.114,0.033809,0.13955,1.6528147517564886
616.57,0.47925,120.69,4.9614,0.13776,0.10436,0.056742,0.25167,0.7158,0.11295,0.11364,0.033766,0.13946,1.6661379447692184
608.77,0.48075,121.37,4.9547,0.13783,0.10439,0.05665,0.25168,0.72005,0.11299,0.11363,0.033811,0.13943,1.6704653561548992
606.67,0.49226,120.93,4.9497,0.13781,0.10429,0.056576,0.25171,0.72092,0.11305,0.11312,0.033712,0.13937,1.6705641700899199
631.08,0.45566,120.44,4.9433,0.13813,0.10482,0.057801,0.25153,0.73198,0.1128,0.11529,0.03413,0.13976,1.6862457418618209
617.19,0.46344,121.55,4.9463,0.13805,0.10467,0.057253,0.25159,0.74282,0.1129,0.11483,0.034043,0.13962,1.6957727965857725
618.34,0.48091,123.2,4.9862,0.13743,0.10425,0.056224,0.25165,0.78806,0.11289,0.11306,0.033714,0.13934,1.7366092836584521
598.15,0.48569,120.07,4.9412,0.13796,0.10435,0.056579,0.25174,0.79577,0.11309,0.11361,0.033766,0.13941,1.7462813143714935
590.67,0.50499,122.07,6.4199,0.12856,0.094936,0.033719,0.25846,0.54618,0.11442,0.4662,0.029305,0.13334,1.8051188339485402
