Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
117.53,427.66,607.63,910.52,396.75,979.64,88.843,3.1845,0.10046,0.35652,0.094713,0.1159,0.21806,0.038836,0.067911,0.12603,0.13381,1.2522228725925801
117.46,427.66,607.76,921.99,51.239,925.7,89.924,3.1664,0.094492,0.3335,0.14251,0.11553,0.21955,0.039827,0.059923,0.1192,0.13603,1.2605530285121818
120.13,428.89,608.28,919.82,68.262,981.08,90.433,3.157,0.096384,0.34268,0.13738,0.1155,0.21927,0.039598,0.061465,0.12107,0.13474,1.268095025904368
117.3,454.04,607.78,921.75,52.191,933.23,89.443,3.1323,0.095414,0.35108,0.14216,0.11542,0.21966,0.039488,0.061114,0.11956,0.13575,1.2796495121209899
122.13,428.76,607.83,920.68,51.697,954.88,89.251,3.1795,0.094812,0.35894,0.14499,0.11554,0.21936,0.039965,0.059787,0.11955,0.13581,1.2887443756933432
121.87,427.67,615.47,942.08,49.942,880.59,89.945,3.1797,0.093574,0.36402,0.14187,0.11559,0.21968,0.039671,0.059651,0.11826,0.13671,1.2890233773844177
118.84,427.04,624.6,928.13,50.382,886.11,89.85,3.1714,0.093671,0.36591,0.14109,0.11557,0.21977,0.039658,0.059847,0.11842,0.13658,1.2905062515279933
118.8,428.91,617.05,967.18,52.028,850.33,87.004,3.2821,0.091754,0.37933,0.13877,0.11606,0.21921,0.039882,0.057709,0.11706,0.13728,1.297042837129757
118.85,429.04,624.68,926.75,49.95,878.55,89.816,3.1751,0.093474,0.38993,0.14053,0.1156,0.21977,0.03965,0.059771,0.11822,0.13667,1.3136168247780335
121.44,427.6,606.5,952.89,51.667,872.6,89.874,3.2111,0.093181,0.3943,0.14026,0.11575,0.21944,0.03975,0.05909,0.11805,0.13674,1.31655466672379
