Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1998.8,0.12744,123.95,5.7805,0.059766,0.13187,0.054721,0.28633,0.068466,0.09637,0.6975215438408124
1997.5,0.12741,123.96,5.7731,0.059743,0.13188,0.054721,0.2864,0.068475,0.096405,0.6976211928241248
1997.7,0.12733,124.09,5.7748,0.059744,0.13187,0.054724,0.28642,0.068475,0.0964,0.697631006326768
2000.0,0.12728,123.99,5.8243,0.059887,0.1318,0.054722,0.28679,0.068428,0.096183,0.6978180926343571
1999.1,0.12744,123.77,5.7703,0.05974,0.1319,0.054719,0.28659,0.068473,0.096414,0.6978312885593356
1995.5,0.12762,124.03,5.8522,0.05997,0.13175,0.054718,0.28703,0.068408,0.096053,0.697935526150499
1981.6,0.1284,123.88,5.8415,0.059948,0.13175,0.054707,0.28708,0.068429,0.096078,0.6979938277963984
2000.0,0.12696,124.3,5.8031,0.059814,0.13182,0.054729,0.28692,0.068452,0.096288,0.6980189574251098
1998.5,0.1273,124.07,5.8627,0.059994,0.13174,0.054722,0.28717,0.068398,0.096016,0.6980369216854301
2000.0,0.12693,124.31,5.806,0.059821,0.13181,0.05473,0.28696,0.06845,0.096277,0.6980549402240449
