Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
633.72,0.36518,136.36,3.8487,0.33543,0.07215,0.13993,0.059566,0.054385,0.11685,0.778311380553142
650.79,0.35134,137.71,3.824,0.34269,0.072187,0.14001,0.059557,0.054438,0.11709,0.7859729900133223
638.19,0.37002,135.35,3.732,0.36157,0.072435,0.14087,0.060196,0.054442,0.11824,0.807760432284885
651.63,0.35008,140.2,3.6758,0.36011,0.072682,0.14118,0.060504,0.054625,0.11921,0.8083004336685509
631.12,0.35985,141.19,3.6516,0.36629,0.072888,0.14144,0.060898,0.054699,0.11992,0.8161381141987486
652.9,0.3571,140.52,3.5451,0.36814,0.073112,0.14232,0.061383,0.054839,0.12104,0.8208278312095549
614.86,0.36509,137.67,3.8276,0.38023,0.072356,0.14005,0.059847,0.054426,0.11751,0.8244284951429979
656.86,0.35919,141.27,3.4604,0.3731,0.073424,0.14304,0.061968,0.055043,0.12226,0.8288453927385591
653.54,0.33614,144.04,3.7059,0.38143,0.072691,0.14079,0.060356,0.054695,0.1191,0.8290601609697592
630.1,0.37984,141.07,3.5311,0.38442,0.073292,0.14265,0.061844,0.054905,0.12166,0.8387782023363088
