Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
3955.6,0.041861,131.29,10.841,0.14966,0.20224,0.57113,1.2929,0.064829,0.16821,0.1316,0.085188,0.087795,2.753505187954924
3991.2,0.037998,139.25,10.653,0.14967,0.20918,0.50703,1.3617,0.066463,0.16916,0.13172,0.085005,0.087375,2.7673313151711305
3987.4,0.037394,137.83,10.614,0.14969,0.21016,0.5065,1.3669,0.066613,0.16929,0.13185,0.085279,0.087053,2.773308649652796
3991.2,0.037854,138.75,10.74,0.14973,0.20871,0.50491,1.3717,0.066328,0.16904,0.13152,0.084978,0.087351,2.7742975974585518
3922.1,0.038968,139.45,10.826,0.15028,0.20955,0.52717,1.3543,0.066083,0.169,0.13114,0.084798,0.087968,2.7803452299319598
3992.4,0.037338,140.89,10.623,0.14974,0.21059,0.5202,1.3641,0.066761,0.16933,0.1317,0.084975,0.087337,2.784700034824733
3997.3,0.037642,141.0,10.826,0.14978,0.20865,0.50847,1.387,0.066349,0.16897,0.13122,0.084675,0.087568,2.792674036268296
3919.7,0.038688,133.46,10.619,0.15009,0.21015,0.55035,1.3433,0.066166,0.16922,0.13189,0.085702,0.08713,2.7939926829572013
3990.9,0.038091,139.95,10.671,0.14969,0.20908,0.53416,1.3615,0.066448,0.16914,0.13165,0.084899,0.087485,2.794007325896038
3902.0,0.040277,137.42,10.896,0.15036,0.2077,0.56681,1.3313,0.065586,0.16873,0.13104,0.084791,0.088194,2.7944840757739033
