Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
895.61,0.37005,113.0,3.8324,0.057014,0.13834,0.053805,0.11552,0.2484,0.071467,0.6845462881227091
898.37,0.36995,112.2,3.8292,0.057022,0.13838,0.053798,0.11556,0.25401,0.071469,0.6902339518007443
897.98,0.36968,112.06,3.7976,0.057134,0.13853,0.053796,0.11608,0.2547,0.071598,0.6918346602501119
898.85,0.36872,111.54,3.6308,0.05785,0.13941,0.053989,0.11909,0.27521,0.072299,0.7178441368118156
896.89,0.35886,113.96,3.8357,0.056984,0.13825,0.053809,0.11551,0.28196,0.071511,0.7180246756575386
898.95,0.3687,112.76,3.6695,0.057667,0.13916,0.053916,0.11837,0.2772,0.072137,0.7184490897792952
898.95,0.35908,112.76,3.6758,0.057608,0.13908,0.053904,0.11825,0.27841,0.07215,0.7194057512415106
846.87,0.39609,112.59,3.8501,0.056942,0.13825,0.053828,0.11519,0.28579,0.071359,0.7213621586203718
899.89,0.37061,112.68,3.6796,0.057623,0.13911,0.053896,0.11817,0.28545,0.072085,0.7263387107137735
901.68,0.37028,109.39,3.7006,0.057493,0.13906,0.053831,0.1177,0.29332,0.071966,0.7333626345132719
