Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
880.4,0.55217,139.81,3.1025,0.15145,0.54697,0.24799,0.093316,0.17661,0.17896,0.070632,0.1542,0.10092,1.7210430158564483
880.47,0.53738,145.54,3.0802,0.15163,0.55908,0.24811,0.093489,0.17702,0.17897,0.070807,0.15474,0.10111,1.7349476994700814
883.38,0.54142,145.86,3.0723,0.15175,0.56379,0.248,0.093506,0.17704,0.17894,0.070865,0.15491,0.10117,1.7399886163169878
891.25,0.55124,139.52,3.1176,0.15132,0.5689,0.24794,0.093256,0.17639,0.17898,0.070541,0.15386,0.10082,1.742015452776489
880.68,0.55371,139.27,3.0728,0.1518,0.5725,0.2478,0.093406,0.17678,0.17889,0.070796,0.1548,0.10112,1.7478889595289515
890.33,0.52899,145.56,3.1231,0.15115,0.58144,0.24831,0.093426,0.1767,0.17906,0.070553,0.15378,0.1008,1.7552288985277067
892.81,0.51622,145.64,3.1435,0.15087,0.58769,0.24855,0.093448,0.17664,0.17912,0.070423,0.15325,0.10064,1.760633637326094
892.37,0.51607,145.64,3.1437,0.15086,0.58844,0.24856,0.09345,0.17664,0.17912,0.070421,0.15325,0.10064,1.761392265950113
888.88,0.52846,146.04,3.1422,0.15093,0.59173,0.24848,0.093428,0.17662,0.1791,0.070455,0.15336,0.10068,1.7647838348843488
885.86,0.52084,145.65,3.1468,0.15083,0.59238,0.24862,0.093458,0.17666,0.17912,0.070414,0.1532,0.10063,1.7653139577047912
