Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
314.29,83.022,74.901,14.419,0.13303,0.11188,0.32543,0.22619,0.034289,0.033577,0.11228,0.051262,0.14533,1.173255584953123
314.13,83.632,75.164,13.925,0.13299,0.11173,0.32838,0.2258,0.034619,0.033457,0.11179,0.051234,0.14489,1.1748875710609625
314.27,83.628,75.061,14.555,0.13304,0.11192,0.32869,0.22627,0.034201,0.033553,0.11239,0.051264,0.14541,1.1767458078738753
313.74,82.89,75.114,14.508,0.13304,0.11191,0.32889,0.22625,0.034211,0.033544,0.11236,0.051274,0.14535,1.1768281747740033
314.21,83.025,74.634,14.413,0.13302,0.11187,0.32931,0.22619,0.034305,0.033609,0.11229,0.051255,0.14537,1.1772205818571002
312.5,83.709,75.378,14.234,0.13303,0.11183,0.33034,0.22604,0.03437,0.033407,0.11207,0.051269,0.14504,1.1773976178287107
313.99,87.328,74.405,14.621,0.13303,0.11191,0.33069,0.22629,0.034232,0.033528,0.11243,0.051214,0.14557,1.1788946450743427
314.04,82.332,74.83,13.925,0.13298,0.11173,0.33257,0.22583,0.034615,0.033538,0.11182,0.051241,0.14494,1.1792667309262574
313.04,83.798,75.144,13.842,0.13299,0.1117,0.33354,0.22574,0.034668,0.033404,0.1117,0.05123,0.14479,1.1797666875408228
312.37,83.947,75.078,14.186,0.13302,0.11181,0.33282,0.22601,0.034418,0.033429,0.11203,0.051258,0.14505,1.1798474218870634
