Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
266.51,41.836,65.527,15.961,5.7624e-05,0.073593,0.076563,0.059153,0.33257,0.061273,0.13343,0.73659013089866
266.24,41.744,65.514,15.963,5.7582e-05,0.073586,0.076568,0.059153,0.33287,0.061275,0.13343,0.7368834745240191
266.31,42.512,65.517,15.963,5.7585e-05,0.073597,0.076587,0.059137,0.33307,0.061282,0.13342,0.7370938013784298
266.09,41.821,65.522,15.956,5.752e-05,0.073582,0.076575,0.059149,0.3332,0.06128,0.13342,0.7372050237588328
267.09,43.172,65.419,15.962,5.7624e-05,0.073646,0.076566,0.059131,0.33329,0.061278,0.13345,0.7373632525420383
265.82,42.108,65.809,15.952,5.7442e-05,0.073523,0.07663,0.059134,0.33479,0.061289,0.13336,0.7387292402653061
264.92,42.249,65.906,15.97,5.7454e-05,0.073481,0.076679,0.059122,0.3354,0.061298,0.13332,0.7392985396614937
264.81,43.612,65.961,15.96,5.7454e-05,0.073485,0.076726,0.059089,0.33699,0.061315,0.13328,0.7408927149323897
265.74,41.175,66.101,15.976,5.7613e-05,0.073451,0.076649,0.05915,0.3377,0.061276,0.13333,0.7415621107422418
265.73,41.394,65.17,15.963,5.7006e-05,0.073633,0.076524,0.059164,0.33813,0.061278,0.13347,0.7421970769774027
