Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
316.82,87.417,74.688,12.298,0.13271,0.11136,0.34029,0.22443,0.036637,0.032769,0.11051,0.050916,0.1433,1.1829235897572727
317.05,87.368,74.608,12.305,0.13271,0.11136,0.34062,0.22444,0.036636,0.032783,0.11053,0.050913,0.14332,1.1833145170524204
316.69,84.13,74.935,12.288,0.13271,0.11136,0.34086,0.22444,0.036597,0.032816,0.11048,0.050936,0.14323,1.183428112295687
318.7,87.93,74.768,11.96,0.13268,0.11118,0.34196,0.22411,0.037107,0.03266,0.11012,0.050772,0.14301,1.1836048124844485
317.11,87.379,74.781,12.32,0.13272,0.11137,0.34094,0.22445,0.036609,0.032772,0.11053,0.050922,0.14331,1.1836184305171527
316.57,87.429,74.615,12.301,0.13271,0.11136,0.34098,0.22443,0.036633,0.032774,0.11052,0.050918,0.1433,1.1836398651183933
318.43,88.659,74.579,11.996,0.13269,0.1112,0.34187,0.22414,0.037072,0.032671,0.11017,0.05078,0.14308,1.183675680467415
317.49,87.394,74.616,12.324,0.13271,0.11137,0.34099,0.22445,0.03662,0.032794,0.11055,0.050913,0.14334,1.1837468912236255
319.08,89.461,74.655,11.984,0.13269,0.11119,0.34201,0.22412,0.037103,0.032651,0.11016,0.050769,0.14308,1.1837746603498032
316.98,90.881,74.606,12.307,0.13273,0.11136,0.34114,0.22441,0.036657,0.032718,0.11053,0.050906,0.14337,1.1838159110338626
