Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
658.68,0.404,120.67,19.999,0.084613,0.070214,0.20147,0.055793,0.13009,0.062053,0.6042318501146845
659.5,0.40401,120.74,19.999,0.084614,0.070213,0.20156,0.055796,0.13009,0.062049,0.6043276683828621
658.7,0.40407,120.64,19.993,0.084612,0.070215,0.20162,0.055792,0.13009,0.062055,0.6043843732632649
658.62,0.40448,120.57,19.993,0.084607,0.070223,0.20161,0.055792,0.1301,0.062053,0.6043846206578433
658.76,0.40449,120.57,19.992,0.084606,0.070224,0.20162,0.055792,0.1301,0.062052,0.6043882735141477
658.84,0.40453,120.63,19.992,0.084609,0.070219,0.20162,0.055794,0.13009,0.062051,0.6043889687797486
658.64,0.40388,120.67,19.995,0.084615,0.070212,0.20163,0.055792,0.13009,0.062056,0.6043909830691774
658.66,0.40325,120.74,19.996,0.084621,0.070204,0.20189,0.055791,0.13008,0.062059,0.604638666960265
655.32,0.40667,120.85,19.998,0.084629,0.070184,0.20198,0.055796,0.13007,0.062051,0.604711716600563
658.63,0.40399,120.72,19.978,0.08462,0.070202,0.202,0.055791,0.13008,0.06206,0.6047457220916239
