Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
114.25,0.00024723,61.191,15.046,2.1724e-06,0.25939,0.043826,0.029256,0.027945,0.29212,0.020356,0.11214880741138228
61.943,0.00011512,70.399,15.459,3.7666e-06,0.24452,0.048348,0.029662,0.029129,0.30684,0.019564,0.11301071965495268
62.655,1.2802e-05,65.86,15.809,9.2885e-07,0.24605,0.04896,0.029818,0.028639,0.34239,0.020643,0.11941776905589781
81.805,8.2248e-06,60.854,15.78,1.0857e-06,0.2537,0.048151,0.029411,0.027985,0.35557,0.021799,0.12276950613044674
63.403,2.2894e-05,65.682,15.801,1.7331e-06,0.24657,0.048855,0.029765,0.028683,0.4385,0.020494,0.13547899501533783
392.39,180.99,71.941,3.1565,7.3806e-05,0.311,0.060098,0.027921,0.033124,0.37009,0.023326,0.13759305111637762
54.336,0.00061777,17.612,3.2315,1.3616e-06,0.2986,0.048581,0.026859,0.031058,0.40844,0.014827,0.13806066852387863
132.17,0.00018871,57.257,15.404,1.8068e-06,0.26347,0.042802,0.029534,0.027632,0.46975,0.020773,0.14232558697541328
627.28,160.38,176.63,1.0073,4.8028e-05,0.36468,0.090556,0.048649,0.045746,0.25159,0.069516,0.14512289783253254
626.9,160.38,174.83,1.0143,4.8084e-05,0.36439,0.090509,0.048617,0.045733,0.25278,0.069318,0.14522414185692398
