Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1997.6,0.16742,150.28,6.2394,0.13046,0.10098,0.058887,0.033134,0.11096,0.24398,0.13371,0.21856,0.047607,1.0782748452550621
1931.5,0.17246,150.89,6.2463,0.13046,0.10101,0.058853,0.033084,0.11097,0.24688,0.13369,0.21857,0.047623,1.0811292839670112
1966.9,0.16914,151.14,6.2224,0.13037,0.10098,0.058978,0.033169,0.11098,0.24796,0.13369,0.21856,0.047605,1.0822834197404452
1966.5,0.16922,151.04,6.2142,0.13034,0.10096,0.05902,0.033198,0.11097,0.24863,0.1337,0.21856,0.047579,1.0829600196428097
1969.7,0.16934,150.8,6.205,0.13032,0.10094,0.059067,0.033238,0.11096,0.24864,0.13371,0.21855,0.047532,1.0829613459339353
1997.6,0.16815,150.31,6.2362,0.13045,0.10097,0.058912,0.033161,0.11095,0.24905,0.13372,0.21855,0.047564,1.0833301065970247
1969.2,0.16919,151.47,6.2306,0.13038,0.10099,0.058946,0.033147,0.11099,0.24973,0.13368,0.21856,0.047627,1.0840522160075368
1967.9,0.16912,151.49,6.2042,0.13029,0.10095,0.059082,0.033235,0.11098,0.24974,0.13369,0.21856,0.047569,1.0840925096465883
1968.1,0.16913,151.46,6.1957,0.13026,0.10094,0.059125,0.033265,0.11098,0.25,0.1337,0.21855,0.047546,1.084359355797986
1994.3,0.16745,150.32,6.1936,0.13031,0.10091,0.059125,0.033286,0.11094,0.2504,0.13373,0.21855,0.047502,1.0847460212270459
