param_type,param_name,base,out_u_bound,in_l_bound,in_u_bound,out_l_bound
input,cp_tau_s,10,1,1.238998998615434,3.2186930199913557,0
input,cp_b,10,1,0.6592885380645771,1.294708657940791,0
input,cp_tau_0,10,1,1.7715286891549025,2.69704616790849,0
input,cp_n,10,1,0.05652372407910036,1.300573746885434,0
input,average_strain,10,1,-2.314598666735028,-0.5430724804873693,0
output,average_stress,10,1,2.3408207366559193,3.7467898321526114,0
output,g59_phi_1,10,1,0.22250837603967122,0.28082867763973174,0
output,g59_Phi,10,1,0.33025138991790914,0.3627086109093185,0
output,g59_phi_2,10,1,0.6327406553278637,0.6508415614643831,0
output,g63_phi_1,10,1,0.2663493119869975,0.3361994794666317,0
output,g63_Phi,10,1,0.44318472915018464,0.4866712931924322,0
output,g63_phi_2,10,1,0.5749567757645068,0.6109687431412113,0
output,g86_phi_1,10,1,0.31251585566338685,0.3263153748568165,0
output,g86_Phi,10,1,0.25333800532610634,0.28571479658290966,0
output,g86_phi_2,10,1,0.5571341018275902,0.5729064372591384,0
output,g237_phi_1,10,1,0.3324384599156053,0.33639968898608347,0
output,g237_Phi,10,1,0.33541777925354777,0.3601388135775749,0
output,g237_phi_2,10,1,0.6075408013073635,0.6215086288215992,0
output,g303_phi_1,10,1,0.4002443312381505,0.4143548733428669,0
output,g303_Phi,10,1,0.3008345191616123,0.3183555502257034,0
output,g303_phi_2,10,1,0.6464331356888033,0.6640493516544295,0
