Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
650.66,0.78148,161.7,2.0716,0.02651,0.02650971682713459
650.66,0.77994,161.67,2.0719,0.026541,0.026540500656839282
650.66,0.78057,161.66,2.0713,0.026547,0.02654747035493537
650.66,0.78016,161.67,2.0704,0.02656,0.02655981877884136
650.66,0.78018,161.67,2.0702,0.026565,0.02656535441004585
650.66,0.78101,161.64,2.0702,0.026571,0.026571024058105484
650.66,0.78025,161.64,2.0704,0.02658,0.026579672021573582
650.66,0.78002,161.62,2.0705,0.026596,0.02659611925160908
650.66,0.77975,161.54,2.0736,0.026596,0.02659617897617924
650.66,0.78021,161.69,2.0671,0.026605,0.026605385957589763
