Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
3201.1,0.64748,175.7,19.913,0.71235,0.19378,0.11644,0.20533,0.092855,0.18281,0.096676,0.094752,0.14006,1.8350551285770724
3234.0,0.64659,175.72,19.866,0.72116,0.19392,0.11649,0.20549,0.092797,0.18279,0.096927,0.094812,0.13991,1.8442869893490155
3221.1,0.6552,175.29,19.882,0.73585,0.19372,0.11652,0.20548,0.092861,0.18256,0.096821,0.094731,0.13935,1.8578947160402388
3218.9,0.63721,176.29,19.921,0.74066,0.19398,0.11641,0.2053,0.092802,0.18301,0.096745,0.094811,0.14061,1.8643154582997445
3234.4,0.66137,174.74,19.737,0.74819,0.19394,0.11661,0.20581,0.092749,0.18266,0.097223,0.094887,0.13928,1.8713381542866572
3206.5,0.64069,174.45,19.873,0.7507,0.19358,0.11622,0.20483,0.093056,0.18238,0.096082,0.094582,0.14051,1.8719411851303904
3227.7,0.66901,176.02,19.863,0.7545,0.19394,0.11678,0.20609,0.092661,0.18283,0.097531,0.094913,0.13854,1.8777799902652088
3234.1,0.65667,175.27,19.88,0.75847,0.19372,0.11654,0.20554,0.092858,0.18247,0.09689,0.094723,0.1391,1.8803145579612321
3200.3,0.65375,175.96,19.833,0.75814,0.19404,0.1166,0.20576,0.092682,0.18315,0.097208,0.094953,0.13996,1.8824851469678938
3232.8,0.65516,175.65,19.726,0.75923,0.19425,0.11666,0.20599,0.092598,0.18315,0.097541,0.095059,0.13987,1.8843558180795457
