iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29938394047572275,0.0887499567800866,0.32763392911720846
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.04973416976183614,0.08420340213092652,0.07653694511041931
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16770766119823402,0.07806193509216405,0.1925555468727072
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16017544886126864,0.07385663627900112,0.1836847463491551
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.19762807064758345,0.07235411825702118,0.2206591017949044
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.020052062026391315,0.07302221498156991,0.043295754966063124
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.04365047769003332,0.07297576263114125,0.06687938438732721
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03359646295447935,0.073221622783843,0.05690362936899687
9,494.02,0.50636,99.313,12.387,4.517e-06,0.023085422573869568,0.07323527553895767,0.04639693479531373
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019452577783371047,0.07309587418659937,0.042719717176212174
11,455.66,0.58146,102.25,13.326,8.357e-06,0.021769151013652628,0.0731725750608672,0.04506070505305215
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.019823650784976856,0.07315646286479358,0.043110076153078006
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.021997512860229333,0.07314364594580962,0.04527985847630747
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.05871821476020439,0.07319928039546694,0.08201826937162085
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.016948414386981248,0.07317580381885506,0.0402409961719684
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.01508381180267949,0.07308707404945834,0.038348150024868854
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.017192907614898414,0.07311583435107089,0.04046640052542068
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.016723602609525396,0.07315075462071104,0.040008210987102326
19,302.32,0.50201,75.631,12.165,7.615e-08,0.04053365559405385,0.07296771258672004,0.06375999988262426
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.025049106795500885,0.07319939108013473,0.048349196638941355
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.0176875762623352,0.07316007171934613,0.04097515036451823
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.01900553275063266,0.07316289444738058,0.042294005355055064
23,535.09,0.50025,107.32,15.897,1.6036e-05,0.024745229888492832,0.07329229028669708,0.048074890467800724
