param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
input,cp_tau_s,1,10,2.335939069031729,0,3.57860483173552
input,cp_b,1,10,-0.17865681655991453,0,0.9780297892291716
input,cp_tau_0,1,10,0.9014201759145004,0,2.6952452018186412
input,cp_n,1,10,0.06636320225849458,0,1.266983884766044
input,average_strain,1,10,-2.054393565483781,0,-0.5443786759688783
output,average_stress,1,10,1.7708520116421442,0,3.906448180715921
output,g39_phi_1,1,10,-0.2270844789352926,0,-0.1894717784064202
output,g39_Phi,1,10,0.2708883646988325,0,0.27758629578476324
output,g39_phi_2,1,10,0.43277694076486,0,0.44698738213032396
output,g50_phi_1,1,10,0.16776026643562975,0,0.2206048878266815
output,g50_Phi,1,10,0.3360192119516659,0,0.3416125587120018
output,g50_phi_2,1,10,0.5047562204972064,0,0.5149725425040592
output,g138_phi_1,1,10,-2.2041616769275443,0,-0.32548790414704
output,g138_Phi,1,10,0.4213570985131425,0,0.4308326351472177
output,g138_phi_2,1,10,0.3094598224612111,0,0.3631417096979497
output,g164_phi_1,1,10,-0.7160433005651812,0,-0.4525452894272746
output,g164_Phi,1,10,0.36129332424357513,0,0.38232328338198107
output,g164_phi_2,1,10,0.5273978715204672,0,0.5368739489289612
output,g185_phi_1,1,10,-0.3505288370576576,0,-0.12268625668776155
output,g185_Phi,1,10,0.36552542245670905,0,0.3891660843645325
output,g185_phi_2,1,10,0.433561834647961,0,0.4563812179853199
output,g223_phi_1,1,10,0.6270789636107218,0,0.6696050746223257
output,g223_Phi,1,10,0.4523385438459995,0,0.4756130848415811
output,g223_phi_2,1,10,-3.098073307347931,0,0.7979527281649079
output,g243_phi_1,1,10,0.3743450162246089,0,0.390352125833223
output,g243_Phi,1,10,0.34578528195921315,0,0.35283828998107275
output,g243_phi_2,1,10,0.5762030912301772,0,0.5819041682211966
output,g238_phi_1,1,10,-0.11788547469879054,0,-0.09204074194486728
output,g238_Phi,1,10,0.2793474924107323,0,0.3043181544900566
output,g238_phi_2,1,10,0.5277587525209719,0,0.5387998699649996
