Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
659.32,3.0551,342.74,0.52204,155.77,44.672,100.23,17.084,0.21936,0.13626,0.032847,0.3042,0.06713,0.15972,0.038265,0.12459,0.12194,1.2043233883724027
662.71,3.075,325.7,0.56108,155.75,42.441,98.021,17.079,0.21986,0.13685,0.03257,0.33851,0.066713,0.15335,0.037474,0.12446,0.12229,1.2320804927852487
648.24,3.0425,298.3,0.56421,161.14,41.497,98.108,17.132,0.22016,0.13768,0.032327,0.34347,0.067011,0.14807,0.037193,0.12471,0.12214,1.232753323105307
669.32,3.1588,323.63,0.60873,147.3,46.022,98.052,17.127,0.21991,0.13664,0.032564,0.34968,0.066627,0.14683,0.037062,0.12393,0.12239,1.235646646586806
650.74,3.0713,299.86,0.5679,155.92,42.45,98.054,17.116,0.2201,0.13742,0.03239,0.3565,0.067068,0.14762,0.0371,0.12444,0.12218,1.2448160302465252
648.67,3.0787,299.44,0.58916,153.57,42.4,98.028,17.047,0.22021,0.13738,0.032381,0.36217,0.066963,0.14663,0.036878,0.1243,0.1223,1.2492129713592823
661.05,3.063,325.46,0.56174,178.41,44.73,97.94,17.042,0.21954,0.13726,0.032515,0.34608,0.066506,0.16919,0.038724,0.12544,0.12185,1.2571129726343124
663.07,3.1092,319.37,0.56357,196.36,43.807,95.91,19.638,0.22075,0.14133,0.031545,0.36215,0.067342,0.15657,0.035795,0.12653,0.12121,1.2632189291612574
662.92,2.9582,332.98,0.7297,154.39,43.608,98.438,17.08,0.22066,0.13761,0.032309,0.38564,0.065731,0.15274,0.0359,0.1242,0.12296,1.2777493338479222
661.78,3.6243,323.57,0.5658,148.94,43.226,97.972,15.953,0.21903,0.13435,0.033071,0.40629,0.066226,0.14495,0.039944,0.12392,0.12236,1.2901353398608788
