Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
646.78,0.40016,122.24,19.988,0.084998,0.069735,0.2,0.055891,0.12994,0.061928,0.6024884206736417
647.34,0.40322,121.42,19.979,0.084945,0.069804,0.20072,0.055881,0.12996,0.0619,0.6032041627110895
641.17,0.40531,121.7,19.981,0.08499,0.06973,0.20091,0.055881,0.1299,0.061903,0.6033135971829391
647.34,0.39893,121.99,19.976,0.08498,0.069762,0.20086,0.055879,0.12994,0.061943,0.603364655431586
648.12,0.40256,121.07,19.978,0.084925,0.069837,0.2012,0.055873,0.12997,0.061904,0.6037074672304776
646.75,0.40031,121.59,19.953,0.084952,0.069797,0.20168,0.055864,0.12992,0.061941,0.6041545924187264
647.33,0.39895,121.77,19.976,0.084969,0.069778,0.20261,0.055874,0.12994,0.061943,0.6051137989579883
647.27,0.39927,121.57,19.91,0.084933,0.069819,0.20268,0.055845,0.12988,0.061966,0.6051208339324445
647.27,0.39682,122.41,19.979,0.085006,0.06973,0.20305,0.055882,0.12993,0.061962,0.6055533777602055
639.79,0.40324,122.14,19.928,0.085001,0.069707,0.20329,0.055861,0.12982,0.061949,0.6056333556554887
