Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3851.8,3.4682,212.25,6.5816,0.099289,0.14763,0.070434,0.16478,1.4905,1.0854,0.065143,0.12399,0.18937,3.4365090260637374
2738.9,2.1068e-06,140.63,8.5591,0.07649,0.12674,0.081043,0.16448,2.4013,0.21964,0.068059,0.13869,0.17543,3.451872792008573
3847.4,3.4706,210.48,6.5829,0.099419,0.1478,0.070481,0.16489,1.5043,1.1035,0.065302,0.12403,0.19041,3.4701342058652176
3090.8,1.7076e-06,143.63,9.0126,0.07707,0.12391,0.079643,0.16405,2.4306,0.22186,0.068737,0.13884,0.16567,3.470368525654334
3738.0,5.7144,17.526,6.8027,0.095243,0.15199,0.062007,0.16304,1.7291,0.82907,0.071007,0.12826,0.24389,3.4735604937257123
3846.9,3.4994,211.22,6.5795,0.09946,0.1475,0.070374,0.16492,1.5231,1.0924,0.065331,0.12407,0.18992,3.477058309059265
3619.9,4.5415,20.506,6.8628,0.096378,0.15106,0.065123,0.16134,1.7958,0.81996,0.066357,0.12565,0.22166,3.503302761699295
3851.8,3.4682,211.98,6.6083,0.099351,0.14835,0.070569,0.16464,1.5365,1.108,0.06506,0.12394,0.19044,3.506849413403105
2871.4,0.40028,136.63,5.0804,0.097558,0.12931,0.064645,0.18054,1.6679,0.90666,0.074813,0.15503,0.25114,3.527601594873457
3899.5,3.3894,209.99,6.5477,0.099033,0.14748,0.070488,0.16492,1.5641,1.1038,0.065359,0.12396,0.19006,3.5291814812195756
