iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.302526937857193,0.08866365169252619,0.33074945473608025
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.04608339770893085,0.08412146961207843,0.07286009312676474
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.17448174257160623,0.07800307607602235,0.19931089283935047
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.1671153210055637,0.07382930862802188,0.1906159198319773
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.18639524213381065,0.07229132052941803,0.20940628414360563
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.023313890971197095,0.07302716392085103,0.046559159207168216
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03491700555637163,0.0729530183186428,0.058138672514142814
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03303994846495832,0.07316216793850046,0.05632818981442178
9,494.02,0.50636,99.313,12.387,4.517e-06,0.017486406125470387,0.07319651817050953,0.04078558149337504
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019771914299716975,0.07308526670848288,0.043035677227406144
11,455.66,0.58146,102.25,13.326,8.357e-06,0.025854003786684246,0.07316036722075933,0.04914167194988848
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.016174999978238153,0.07313183474769899,0.03945358597319001
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.018476528287420902,0.07310078990638896,0.04174523240246877
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.06534056260234145,0.073145649966391,0.08862354611798276
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.017353347168542786,0.07314093333423169,0.04063482933353829
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.018032248135432277,0.0730665367445936,0.04129004913044762
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.016098363861814104,0.0730963302017802,0.03936564840879554
