Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g185),Error (curve),Error (g238),Error (g223),Error (g50),Error (g138),Error (g39),Error (g243),Reduced Error
1709.0,0.021629,4.9261,4.3306,0.15059,0.089398,0.75544,0.1541,0.42743,0.083673,0.13641,0.11453,0.046145,1.957715034472952
1814.2,0.024746,5.6007,4.4934,0.15014,0.087725,0.77079,0.15418,0.45933,0.085875,0.13288,0.11357,0.046646,2.001141652030333
1700.9,0.024848,5.5947,4.3413,0.15084,0.088349,0.79568,0.15429,0.4469,0.086284,0.13507,0.11343,0.046528,2.0173768329816513
1682.3,0.023842,5.5771,4.3579,0.15099,0.088555,0.7994,0.15427,0.45382,0.086004,0.13512,0.11351,0.046472,2.0281366363099163
1786.9,0.023417,5.5768,4.554,0.15025,0.087586,0.82083,0.15422,0.44282,0.086098,0.13218,0.11343,0.04666,2.034075141569407
1696.5,0.023237,5.6031,4.4705,0.15078,0.087859,0.78206,0.15433,0.48323,0.086732,0.1333,0.11316,0.046618,2.038072018418244
1739.9,0.026071,5.4569,4.3906,0.15021,0.087216,0.78144,0.15437,0.48821,0.087473,0.13361,0.11301,0.046768,2.04230400565006
1810.6,0.024844,5.7455,4.6303,0.14995,0.086443,0.81144,0.15435,0.465,0.087885,0.13065,0.11272,0.046963,2.0454094661176487
1686.2,0.02429,5.6725,4.4067,0.15088,0.08795,0.7858,0.15435,0.4947,0.086982,0.13403,0.1131,0.046626,2.054418325751495
1755.5,0.024688,5.6093,4.5727,0.15009,0.086428,0.74619,0.15443,0.54086,0.088332,0.13123,0.11256,0.046946,2.057073029510171
