Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1489.5,0.17656,123.47,5.294,0.10223,0.04769,0.099139,0.33149,0.13591,0.030951,0.25464,0.11447,0.13481,1.2513535771330844
1468.3,0.17687,124.19,5.245,0.10579,0.048102,0.09948,0.32726,0.13617,0.031117,0.25443,0.1144,0.13518,1.2519456348322957
1485.3,0.17733,123.35,5.2892,0.10262,0.047742,0.099171,0.33262,0.13594,0.03096,0.25462,0.11447,0.13485,1.2529867773598522
1461.3,0.17855,123.79,5.2631,0.10378,0.047832,0.099345,0.33294,0.13608,0.031046,0.25452,0.11443,0.13509,1.2550623824534364
1490.1,0.18255,121.77,4.885,0.11049,0.054553,0.10247,0.31409,0.13783,0.032228,0.25226,0.11383,0.13734,1.2550771789726936
1464.1,0.1797,123.7,5.2639,0.10397,0.047917,0.099351,0.33284,0.13607,0.031052,0.25451,0.11442,0.13507,1.255205204727771
1474.9,0.1794,122.93,5.2698,0.10446,0.048018,0.099299,0.33279,0.13605,0.030999,0.25453,0.11443,0.13499,1.2555518688392742
1469.7,0.17922,123.02,5.2934,0.10122,0.047586,0.099134,0.33705,0.13592,0.030933,0.25465,0.11447,0.13487,1.2558382825679097
1474.9,0.17943,123.01,5.2706,0.10432,0.047999,0.099296,0.33346,0.13604,0.031001,0.25453,0.11443,0.13498,1.256064079379042
1478.3,0.17822,123.12,5.2482,0.10679,0.048329,0.099456,0.33115,0.13617,0.031067,0.25443,0.1144,0.13512,1.2568970020485102
