Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1999.7,0.12396,122.02,9.5299,0.06645,0.08859,0.12862,0.065951,0.13201,0.055209,0.5368294468701676
1999.7,0.12417,122.12,9.5274,0.066451,0.088588,0.12862,0.065949,0.13275,0.055209,0.5375626930412581
1999.7,0.12415,122.26,9.5223,0.06644,0.088595,0.12861,0.065952,0.13295,0.05521,0.5377580602028859
1999.7,0.12374,122.08,9.4978,0.066404,0.08863,0.12861,0.06597,0.13297,0.055208,0.5377906519718828
1998.9,0.12407,121.7,9.5754,0.066518,0.088533,0.12863,0.065927,0.13309,0.055208,0.5379129372057743
1999.8,0.12452,122.99,9.1434,0.065961,0.089031,0.12858,0.066168,0.1332,0.055185,0.5381274653985354
1999.9,0.1242,121.51,9.5938,0.06655,0.088512,0.12865,0.065913,0.13335,0.055208,0.5381822418253258
1997.4,0.12363,123.58,9.2535,0.066057,0.088916,0.12852,0.066115,0.13464,0.0552,0.5394531895654685
1995.6,0.12478,122.7,9.2148,0.066076,0.088923,0.1286,0.06613,0.13494,0.055186,0.5398546536491793
1995.1,0.12394,122.03,9.5197,0.066441,0.088589,0.12861,0.065967,0.13521,0.055206,0.5400197287590797
