Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
507.09,0.6827,131.03,10.842,0.056791,0.14042,0.11172,0.26719,0.031716,0.13531,0.12228,0.03826,0.22323,1.126917736449294
504.6,0.68152,131.34,10.851,0.056833,0.1404,0.11173,0.26709,0.031754,0.13529,0.12294,0.038234,0.22326,1.1275338768663752
499.84,0.68337,131.26,11.473,0.056142,0.14103,0.11193,0.28489,0.030681,0.13597,0.11311,0.036764,0.22369,1.134217273191468
499.85,0.68334,131.03,11.52,0.05605,0.1411,0.11194,0.28642,0.03058,0.13603,0.11253,0.036669,0.22372,1.1350387550344154
499.65,0.69499,130.53,11.372,0.056073,0.14102,0.11187,0.28769,0.030772,0.13584,0.11303,0.037072,0.22358,1.1369471252519339
508.51,0.67615,130.93,10.857,0.056774,0.14044,0.11172,0.28047,0.031658,0.13536,0.12163,0.038197,0.22326,1.1395027023054585
501.03,0.69346,130.46,11.796,0.055675,0.14137,0.11202,0.29706,0.030105,0.1363,0.11089,0.036146,0.22387,1.1434384741896721
505.79,0.69033,130.33,10.992,0.056451,0.14064,0.11174,0.29695,0.031358,0.13546,0.11725,0.037967,0.2233,1.1511196595070883
507.29,0.68213,132.9,10.784,0.057396,0.14016,0.11176,0.28191,0.032192,0.13506,0.13122,0.038295,0.22327,1.151264595499817
508.46,0.69758,131.74,10.51,0.057314,0.13994,0.11162,0.28291,0.032454,0.1348,0.13447,0.039076,0.223,1.1555858969366084
