Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
465.06,0.50021,100.15,13.338,2.7635e-06,0.063751,0.086515,0.055515,0.12826,0.068052,0.23834,0.6404315239078181
465.27,0.50149,100.21,13.412,2.7631e-06,0.063723,0.086495,0.055514,0.12827,0.068077,0.23838,0.6404592714612001
460.17,0.50021,100.88,13.349,2.7648e-06,0.063756,0.086583,0.055506,0.12816,0.06797,0.23849,0.6404658187368762
462.94,0.5018,100.31,13.315,2.775e-06,0.063766,0.086556,0.055508,0.12821,0.068006,0.23892,0.6409668853688757
459.01,0.50002,100.83,13.348,2.7158e-06,0.063762,0.086577,0.055504,0.12814,0.067967,0.23907,0.6410151312333661
458.82,0.50119,100.84,13.36,2.7159e-06,0.063759,0.086579,0.055501,0.12813,0.067966,0.23946,0.6414009602263829
470.76,0.50029,100.14,13.349,2.7896e-06,0.06373,0.086473,0.055525,0.12832,0.068103,0.23925,0.6414064611898356
458.82,0.50152,100.83,13.359,2.7159e-06,0.06376,0.08658,0.0555,0.12813,0.067964,0.23959,0.6415206490086973
457.88,0.50005,100.89,13.338,2.7222e-06,0.063769,0.086594,0.055502,0.12812,0.067949,0.23959,0.6415281665998716
463.32,0.50197,100.25,13.511,2.7277e-06,0.063694,0.086468,0.055509,0.12826,0.068103,0.2395,0.6415393403685503
