Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1667.6,0.16359,126.17,3.8264,0.057476,0.11198,0.071626,0.13821,0.11597,0.054345,0.5496107339022791
1667.4,0.16351,126.06,3.8265,0.057472,0.1131,0.071625,0.13821,0.11596,0.054343,0.5507077351701404
1670.1,0.16335,125.69,3.8266,0.057462,0.11512,0.071615,0.13821,0.11593,0.054335,0.5526760860274248
1644.3,0.16838,125.89,3.9184,0.057115,0.11875,0.071228,0.13778,0.11444,0.054268,0.5535725888050165
1668.7,0.1641,125.28,3.9705,0.056878,0.12225,0.071116,0.13746,0.11359,0.054267,0.5555528876083665
1668.6,0.16389,125.04,3.8485,0.057354,0.12084,0.071512,0.13811,0.11552,0.0543,0.5576366009802806
1668.3,0.16613,125.25,3.7461,0.057841,0.12012,0.071861,0.13876,0.11727,0.054426,0.5602751633679437
1654.3,0.16336,127.09,3.8337,0.057458,0.12739,0.071639,0.1381,0.11591,0.054356,0.5648489663848963
1667.5,0.16261,126.02,3.8292,0.057451,0.12748,0.071632,0.13816,0.11591,0.054341,0.564979734695449
1667.5,0.1631,125.47,3.8465,0.057367,0.1286,0.071547,0.13809,0.11559,0.054311,0.5654998380028912
