10.0, 2239.62698
20.0, 16.476596
30.0, 3.456781
40.0, 1.597716
50.0, 1.417487
60.0, 1.364992
70.0, 1.33845
80.0, 1.24584
90.0, 1.174378
100.0, 1.101385
110.0, 1.085486
120.0, 1.033357
130.0, 0.985953
140.0, 0.942321
150.0, 0.899795
160.0, 0.858994
170.0, 0.809665
180.0, 0.783025
190.0, 0.757189
200.0, 0.702322
210.0, 0.681759
220.0, 0.650644
230.0, 0.635139
240.0, 0.603083
250.0, 0.579565
260.0, 0.524719
270.0, 0.48289
280.0, 0.452494
290.0, 0.437205
300.0, 0.399574
310.0, 0.340454
320.0, 0.324543
330.0, 0.318143
340.0, 0.31521
350.0, 0.284743
360.0, 0.276239
370.0, 0.262575
380.0, 0.249937
390.0, 0.231517
400.0, 0.22271
410.0, 0.221503
420.0, 0.221503
430.0, 0.213892
440.0, 0.210034
450.0, 0.208979
460.0, 0.201059
470.0, 0.191844
480.0, 0.190799
490.0, 0.181012
500.0, 0.17895
510.0, 0.174342
520.0, 0.168933
530.0, 0.166332
540.0, 0.155202
550.0, 0.155202
560.0, 0.152265
570.0, 0.146836
580.0, 0.146595
590.0, 0.146479
600.0, 0.146314
610.0, 0.145856
620.0, 0.140679
630.0, 0.140358
640.0, 0.137608
650.0, 0.136212
660.0, 0.135784
670.0, 0.13418
