Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3501.0,5.2096,361.02,5.3349,0.13624,0.077587,0.12391,0.15015,0.57296,0.13732,2.0592,0.080561,0.061086,3.3990058261708733
3498.1,5.1928,361.44,5.3329,0.13619,0.077046,0.12375,0.15034,0.65972,0.13698,2.0178,0.081253,0.061132,3.444267026304486
3501.9,5.1893,364.43,5.3797,0.13604,0.076527,0.12365,0.15026,0.66753,0.13656,2.0756,0.081216,0.061268,3.508652252650525
3498.2,5.3866,366.75,5.3229,0.13588,0.076623,0.12412,0.14996,0.30972,0.13679,2.4466,0.080805,0.061315,3.5217825882524516
3501.1,5.42,366.01,5.2844,0.13618,0.0765,0.12398,0.15041,0.32717,0.13673,2.4461,0.081292,0.061183,3.539569703390442
3486.5,5.175,356.41,5.2932,0.13645,0.07835,0.12423,0.14997,0.31917,0.13795,2.488,0.080634,0.061079,3.5758763826896396
3506.0,5.3732,366.25,5.3027,0.13627,0.076316,0.12374,0.1506,0.67162,0.13653,2.1765,0.081593,0.061131,3.6142733883278164
3510.9,5.4134,367.8,5.3414,0.136,0.077003,0.1241,0.14992,0.30198,0.13693,2.5524,0.080067,0.061197,3.619610999042523
3505.6,5.5014,370.04,5.2887,0.13615,0.075653,0.12383,0.15054,0.38786,0.13618,2.4671,0.081794,0.061259,3.620419943884208
3507.1,5.3874,371.59,5.3525,0.13613,0.075002,0.12349,0.15065,0.65493,0.13559,2.223,0.082512,0.06141,3.642705140396699
