iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,83.99,6.1674,47.796,13.845,3.2362e-05,0.46392499400443216,0.07198286817448975,0.4868378525802368
2,226.28,0.07443,57.829,14.074,3.1666e-05,0.10056309291320663,0.07344342844513631,0.12394086226252535
3,313.01,4.6363,64.219,15.739,4.7744e-05,0.09663588679719892,0.07377260739532909,0.1201184370606876
4,275.74,0.060354,64.129,14.575,4.7301e-05,0.02224116390393723,0.07351559953163067,0.04564190602358373
5,267.61,0.11307,62.364,15.043,5.3439e-05,0.022400035794768312,0.07355401181008832,0.04581300492239872
6,222.09,414.08,62.556,13.728,5.46e-05,0.02803511725221716,0.07415461444283145,0.05163926413551771
7,239.74,247.89,64.463,15.775,4.9311e-05,0.035557061389426665,0.0737147830548444,0.059021205593677004
8,208.0,484.22,63.669,14.118,5.4619e-05,0.021169255170633425,0.07435081529751966,0.04483585472565895
9,206.6,511.04,63.66,15.163,5.7604e-05,0.025003753013888675,0.07447252793311046,0.04870909490409624
10,280.74,0.00059503,47.098,14.425,4.8369e-05,0.1251673797488325,0.07407781618886083,0.14874708098865255
11,234.77,335.07,62.782,15.968,3.6281e-05,0.059521578257682985,0.07396761425820424,0.08306620113349851
