Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
1726.5,0.23272,162.67,2.7923,0.012946,0.012945535497310168
