Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3081.4,2.2766,414.31,1.4468,0.1663,0.087842,0.11676,0.15954,0.33512,0.15202,1.114,0.15406,0.056317,2.3419238218350573
3274.7,2.4794,418.34,1.4384,0.1618,0.087232,0.11739,0.15909,0.46258,0.1512,1.1829,0.14801,0.056091,2.526312009235291
3199.4,2.3231,417.38,1.4584,0.16695,0.087558,0.11704,0.1592,0.44838,0.15177,1.2245,0.15092,0.056133,2.562467804077129
3433.6,2.5738,417.9,1.4296,0.16074,0.087071,0.11778,0.15886,0.48037,0.15081,1.209,0.1448,0.055964,2.565449270681118
3227.2,2.3388,407.45,1.4493,0.16429,0.088093,0.11706,0.1596,0.49332,0.15181,1.258,0.15283,0.05627,2.6412583630787694
3444.7,2.6024,420.06,1.4339,0.16009,0.086826,0.11781,0.15875,0.63782,0.15066,1.2317,0.14396,0.055938,2.743541534196049
3255.7,2.3133,413.56,1.4487,0.16827,0.087981,0.11716,0.15926,0.62935,0.15192,1.233,0.15085,0.056062,2.753850377131747
3688.1,2.604,420.67,1.4376,0.16405,0.086732,0.11818,0.15832,0.3855,0.15055,1.5087,0.1403,0.05562,2.767997100648512
3391.1,2.6459,420.16,1.4182,0.1576,0.086774,0.11782,0.15885,0.5692,0.15054,1.3653,0.1442,0.056019,2.806261902355124
3442.0,2.5662,418.36,1.4362,0.16118,0.087014,0.11776,0.15882,0.73421,0.15082,1.2009,0.14471,0.055945,2.8113716886792854
