Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1960.5,0.17694,149.86,5.1996,0.12629,0.10065,0.065975,0.036725,0.11197,0.25601,0.13437,0.21905,0.048767,1.0998027592025468
1951.7,0.17801,149.96,5.1792,0.1262,0.10061,0.066153,0.03688,0.11199,0.25688,0.13437,0.21905,0.048733,1.100872492848222
1952.9,0.1792,151.88,5.0373,0.12567,0.10052,0.067134,0.037732,0.1121,0.27038,0.1344,0.21912,0.048556,1.1156137926578573
1950.9,0.17268,150.23,5.8755,0.12941,0.10038,0.060997,0.034272,0.11094,0.28784,0.1338,0.21858,0.047133,1.1233487830652782
1950.3,0.17907,150.79,5.0004,0.12557,0.10046,0.067374,0.037952,0.11209,0.27797,0.13442,0.21915,0.048502,1.123491435792249
1960.3,0.17533,150.8,5.3273,0.12685,0.10065,0.065015,0.036168,0.11181,0.28187,0.13426,0.21898,0.04857,1.1241777706662213
1950.9,0.17344,150.25,5.9351,0.12961,0.10044,0.060654,0.034075,0.11089,0.28949,0.1338,0.21854,0.047122,1.124630990729212
1950.2,0.17341,150.18,5.9622,0.1297,0.10047,0.060492,0.033976,0.11087,0.29172,0.1338,0.21853,0.047127,1.1266813687863435
1950.9,0.17215,150.05,5.9317,0.12959,0.10044,0.06065,0.034054,0.11089,0.29177,0.13379,0.21856,0.047149,1.1268996578385124
1950.9,0.17205,150.1,5.917,0.12954,0.10043,0.060736,0.034105,0.11091,0.29272,0.13379,0.21857,0.04715,1.1279408559976871
