Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3054.6,8.1892,419.15,6.9146,0.133,0.068129,0.11744,0.16032,1.4142,0.13453,0.6428,0.1302,0.060446,2.861044159057167
3057.3,8.1897,419.53,6.9142,0.13307,0.068072,0.11741,0.16034,1.3723,0.13452,0.70675,0.13035,0.060454,2.883315311501631
3055.5,8.1517,421.61,6.924,0.13302,0.06801,0.11719,0.16042,1.2073,0.13462,0.88496,0.13133,0.060439,2.8973064382141405
3056.5,8.1854,418.27,6.9119,0.13295,0.068221,0.11758,0.16025,1.4923,0.13454,0.64544,0.12951,0.060413,2.9412114629646227
3045.3,8.1904,418.92,6.9118,0.13296,0.068183,0.11729,0.16026,1.4179,0.13459,0.72503,0.13083,0.060462,2.947553147878845
3053.2,8.1975,422.57,6.9266,0.13321,0.067898,0.11703,0.16054,1.1649,0.1345,0.97696,0.13215,0.06052,2.947738216736597
3059.1,8.2162,421.35,6.9288,0.13322,0.067972,0.11736,0.16056,1.3139,0.13439,0.83137,0.13064,0.06049,2.9498952936626335
3035.4,6.8871,418.23,6.9432,0.12756,0.070313,0.11793,0.15792,0.44726,0.13908,1.7057,0.12696,0.058066,2.9508144096989404
3044.6,8.1621,419.6,6.9222,0.13282,0.068207,0.11731,0.16032,1.3926,0.13463,0.758,0.1307,0.060427,2.954971748220356
3033.9,8.3561,420.91,6.9101,0.13351,0.067791,0.11677,0.16059,1.3055,0.1342,0.84506,0.13346,0.060749,2.9576263154568276
