Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g50),Error (curve),Error (g223),Error (g243),Error (g238),Error (g138),Error (g185),Error (g39),Reduced Error
3996.8,0.03914,274.57,14.116,0.14185,0.20729,0.77806,0.87374,0.071069,0.15114,0.13395,0.070061,0.087834,2.5149764156954784
3987.0,0.039245,273.97,14.103,0.14187,0.20737,0.78149,0.87207,0.071052,0.15114,0.13397,0.070054,0.087818,2.516841527520264
3986.3,0.039432,275.25,14.067,0.14181,0.20677,0.78497,0.86952,0.071009,0.15113,0.13396,0.070082,0.087805,2.5170533972326417
3923.2,0.039902,273.98,13.949,0.14184,0.20726,0.80656,0.86529,0.070964,0.15123,0.13411,0.070073,0.087639,2.5349710954097815
3946.1,0.039216,273.36,14.134,0.14203,0.2091,0.78813,0.88355,0.071128,0.15122,0.13413,0.069845,0.08779,2.5369275150598103
3988.6,0.038557,274.51,14.216,0.142,0.20931,0.77839,0.89459,0.07125,0.15121,0.13405,0.069865,0.087862,2.538526605983252
3993.3,0.03982,279.01,14.04,0.14174,0.20563,0.82146,0.86842,0.070926,0.15105,0.13392,0.07005,0.087843,2.5510534692194655
3985.7,0.038609,273.1,14.338,0.1422,0.21039,0.78174,0.90333,0.071262,0.15116,0.13409,0.06963,0.087996,2.551793146105053
3988.6,0.038793,276.41,14.283,0.14209,0.20947,0.78614,0.90279,0.071222,0.15114,0.13407,0.069668,0.087966,2.5545479310915087
3996.6,0.038611,267.06,14.218,0.14205,0.20912,0.82075,0.873,0.071166,0.1512,0.13398,0.070056,0.08787,2.5592009765179426
