Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
119.99,56.463,78.311,3.6602,0.037391,0.11405,0.052963,0.43356,0.24575,0.11701,0.11539,0.13272,0.13864,1.3874651907064455
120.06,57.075,78.424,3.6462,0.037491,0.11416,0.053191,0.43591,0.24571,0.11703,0.1133,0.13284,0.13877,1.3884104047227919
122.52,56.016,77.21,3.6597,0.037675,0.11422,0.053445,0.43571,0.24566,0.11692,0.11613,0.13278,0.1387,1.3912351231538562
117.87,55.789,78.817,3.6965,0.036926,0.11366,0.052015,0.43779,0.24592,0.11703,0.11955,0.13242,0.1383,1.3936141393627621
121.69,57.079,78.286,3.5656,0.038459,0.11514,0.055003,0.44434,0.24526,0.11701,0.10682,0.13348,0.13953,1.395024547760424
117.62,55.314,78.905,3.7244,0.036624,0.11335,0.051412,0.43832,0.24605,0.11705,0.12307,0.13218,0.13804,1.3961002802699387
119.84,54.302,78.007,3.6537,0.037682,0.11437,0.053378,0.44088,0.24554,0.1169,0.11843,0.13278,0.13869,1.3986388546254653
123.64,64.527,78.303,3.5568,0.038236,0.1148,0.054931,0.45712,0.24563,0.11728,0.099457,0.13381,0.13988,1.4011609380023369
119.71,56.83,78.228,3.7566,0.036282,0.11288,0.050883,0.44581,0.24631,0.11709,0.12255,0.13196,0.13781,1.40157915662994
119.94,57.548,78.208,3.6355,0.037648,0.11433,0.053495,0.45175,0.24565,0.11702,0.11137,0.13299,0.13892,1.4031781952716058
