Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
431.25,0.015058,340.93,19.867,0.10759,0.064479,0.29915,0.11798,0.060621,0.055579,0.7053954910631638
413.75,0.01513,348.96,19.831,0.10764,0.064546,0.3025,0.11699,0.060961,0.055513,0.7081569358176211
441.62,0.014519,342.05,19.83,0.10762,0.064486,0.30206,0.11874,0.060553,0.055662,0.7091217881041915
444.03,0.01445,342.7,19.929,0.10764,0.064504,0.30318,0.11895,0.060507,0.055696,0.7104801432154145
372.17,0.017225,360.35,19.605,0.10743,0.06446,0.31588,0.11343,0.061828,0.055298,0.71832085434344
449.99,0.014417,342.11,19.33,0.10744,0.06435,0.31617,0.11877,0.060627,0.055619,0.7229680610967489
400.09,0.015271,354.02,19.748,0.10766,0.064575,0.31804,0.11616,0.061235,0.055461,0.7231255992096891
462.32,0.013013,340.53,19.423,0.10768,0.06449,0.32787,0.12062,0.060528,0.055854,0.7370473186498467
485.34,0.01264,336.15,19.018,0.10752,0.06435,0.34146,0.12157,0.060431,0.05591,0.7512387548071063
441.62,0.014519,352.12,19.83,0.10757,0.064484,0.34588,0.11845,0.060701,0.055667,0.7527493363631567
