param_type,param_name,out_l_bound,base,out_u_bound,in_l_bound,in_u_bound
input,cp_tau_s,0,10,1,2.612476564128437,3.545838832510257
input,cp_b,0,10,1,-0.408345598575374,0.9989085505075693
input,cp_tau_0,0,10,1,1.4776854708850378,2.6653745817461663
input,cp_n,0,10,1,0.0,1.2970379093793596
input,average_strain,0,10,1,-2.0621662811348473,-0.5426480538893058
output,average_stress,0,10,1,2.0695571045826946,3.9209003936410824
