Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3180.6,9.7955,468.39,6.6903,0.14671,0.064419,0.12114,0.15429,0.28395,0.12586,0.76486,0.10105,0.066778,1.8290572518328123
3111.0,9.7957,463.23,6.6777,0.14743,0.064456,0.12078,0.15493,0.4836,0.12568,0.85262,0.10229,0.066986,2.118768093376346
3246.7,9.9235,474.41,6.702,0.14665,0.064189,0.12139,0.15399,0.52552,0.12566,0.85109,0.10031,0.066746,2.1555389761442916
3155.8,9.9187,470.26,6.7604,0.14657,0.064474,0.12122,0.15412,0.56182,0.12592,0.92312,0.10092,0.066597,2.2647676504484857
3095.7,9.7957,461.9,6.6944,0.14694,0.064622,0.12087,0.15453,0.5289,0.12609,1.0089,0.10177,0.066766,2.3193882517035562
3098.8,9.7798,463.18,6.643,0.1494,0.064069,0.12025,0.15651,0.49874,0.12447,1.0522,0.10478,0.0677,2.3381237309917022
3075.5,8.7552,457.27,6.656,0.14998,0.064606,0.1201,0.15731,0.66483,0.12522,0.90489,0.10692,0.067628,2.3614895071015356
3050.6,8.8025,456.59,6.6627,0.15052,0.064559,0.11991,0.15773,0.64376,0.12498,0.93449,0.10771,0.067766,2.3714259250618275
3048.2,9.1115,457.81,6.6571,0.15055,0.064368,0.11989,0.15761,0.57144,0.12468,1.0179,0.10732,0.067856,2.381618457336514
3122.7,9.8965,461.99,6.681,0.14569,0.064809,0.1212,0.15353,0.55278,0.12673,1.0547,0.099929,0.066415,2.3857691465519864
