Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1480.8,0.17274,125.01,6.5268,0.061554,0.13006,0.21168,0.093755,0.068086,0.054762,0.6198993596347186
1480.8,0.17217,125.01,6.5355,0.061573,0.13003,0.21173,0.093731,0.068088,0.054761,0.6199202767759057
1481.4,0.17255,125.0,6.556,0.061624,0.13002,0.21206,0.093663,0.068072,0.054758,0.6201925965648906
1481.7,0.17187,125.18,6.5155,0.06152,0.13005,0.21207,0.093799,0.068101,0.054765,0.6203092731949433
1466.5,0.17518,123.98,6.5736,0.061697,0.13005,0.21239,0.09357,0.068042,0.054754,0.620512066489876
1480.9,0.17273,123.99,6.5515,0.061627,0.13007,0.21233,0.093664,0.068066,0.054756,0.6205154973189917
1466.6,0.17516,124.19,6.5637,0.061671,0.13006,0.21245,0.093605,0.068049,0.054757,0.6205879305331329
1476.4,0.17302,124.03,6.5913,0.061726,0.13001,0.21272,0.093536,0.068044,0.054752,0.6207860625147898
1466.4,0.17521,124.23,6.5935,0.061742,0.13002,0.21339,0.093512,0.068032,0.054752,0.6214420385028203
1468.7,0.17514,124.0,6.4236,0.06134,0.13026,0.21297,0.094052,0.068121,0.054771,0.6215169395012131
