Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1997.6,0.11858,124.62,9.2755,0.064123,0.090273,0.12593,0.066589,0.26329,0.055161,0.6653689790115465
1984.6,0.11971,124.05,9.2814,0.064219,0.090164,0.12602,0.066565,0.26607,0.055148,0.6681887304812106
1997.5,0.11599,126.45,9.5474,0.064454,0.089933,0.12592,0.066426,0.26774,0.055153,0.6696226301270034
1986.5,0.11703,125.97,12.776,0.068543,0.086578,0.12838,0.064368,0.26699,0.055396,0.6702535710386379
1940.8,0.1213,124.28,9.3683,0.064556,0.089749,0.12609,0.066499,0.27401,0.055067,0.6759778991238546
1986.6,0.1164,125.9,12.767,0.068504,0.086605,0.12834,0.064382,0.27327,0.055396,0.6765005390968736
1936.7,0.12099,124.87,9.3118,0.06444,0.089837,0.12597,0.066565,0.2747,0.055042,0.6765554703419413
1997.6,0.11703,124.89,9.2911,0.064075,0.09031,0.12584,0.066609,0.27461,0.055153,0.6765958350549165
1949.4,0.11839,126.41,9.5085,0.064622,0.089674,0.12595,0.066448,0.27491,0.05506,0.6766713449395554
1997.6,0.11858,124.62,9.1208,0.063829,0.090556,0.12578,0.066718,0.27493,0.055148,0.6769606367388546
