Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
736.34,281.58,180.45,1.3421,9.671e-05,0.33882,0.018593,0.027443,0.04473,0.035854,0.34716,0.13543306804195196
738.54,294.72,173.85,1.3394,8.5878e-05,0.33968,0.018596,0.027424,0.044716,0.035786,0.34724,0.13557377808238055
749.33,291.36,179.96,1.3415,9.6491e-05,0.34052,0.018589,0.027445,0.044731,0.03587,0.34719,0.1357237208354273
738.85,276.69,176.75,1.3529,9.7213e-05,0.34154,0.018589,0.027421,0.044697,0.035726,0.34709,0.13584361040751472
738.58,291.03,178.95,1.3484,9.6729e-05,0.34225,0.018589,0.027432,0.044712,0.035798,0.34713,0.1359852814547519
737.95,314.33,180.02,1.3419,9.7262e-05,0.34249,0.01859,0.027449,0.044737,0.035897,0.34721,0.1360617825247901
735.58,550.45,181.54,1.3424,9.751e-05,0.348,0.018577,0.027471,0.044758,0.036104,0.34738,0.13704954865777566
795.15,328.66,178.93,1.3459,9.6228e-05,0.34896,0.018575,0.027437,0.044712,0.035875,0.34723,0.13713181688985787
737.04,287.1,175.91,1.3115,7.9703e-05,0.35025,0.018608,0.027466,0.044789,0.036013,0.34746,0.13743076459516712
740.09,550.11,182.86,1.3326,9.4623e-05,0.35137,0.018579,0.027484,0.044781,0.036188,0.34746,0.13764471528694067
