Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
226.28,0.07443,57.829,14.074,3.1666e-05,0.15819,0.0787,0.059313,0.10617,0.1829,0.0608,0.6460682407489131
225.82,0.071602,58.086,14.147,3.2735e-05,0.15856,0.079043,0.059294,0.10649,0.1881,0.060906,0.6523992486230301
233.38,0.06853,56.445,14.143,3.2757e-05,0.1592,0.079467,0.059158,0.10659,0.19048,0.06089,0.6557866649464191
228.82,0.070243,57.305,14.226,3.2807e-05,0.15879,0.079167,0.059211,0.1064,0.19151,0.06088,0.6559619050511951
227.41,0.33031,62.432,12.635,3.1626e-05,0.14822,0.070642,0.059995,0.098564,0.22622,0.059384,0.6630330833138639
237.14,0.068969,56.467,14.34,3.2823e-05,0.15917,0.07935,0.059052,0.10615,0.20089,0.060816,0.6654288791762659
222.54,0.12938,61.14,14.13,3.1213e-05,0.1536,0.07485,0.059463,0.10241,0.21576,0.060052,0.6661335617513334
237.81,0.070865,55.765,14.142,3.2644e-05,0.1591,0.079281,0.059094,0.10626,0.20223,0.060777,0.6667339460472655
231.51,0.063508,56.572,13.908,3.2915e-05,0.1599,0.080204,0.059252,0.10758,0.20466,0.061126,0.6727131405802271
237.37,0.063489,55.218,13.828,3.2921e-05,0.16018,0.080354,0.059173,0.10758,0.20527,0.061067,0.6736243611081616
