Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
303.37,778.46,82.196,3.5543,0.089836,0.13832,0.043923,0.11292,0.21862,0.12058,0.069786,0.37054,0.096002,1.2605150082810348
303.79,778.81,82.111,3.5444,0.089941,0.13833,0.043904,0.11295,0.21863,0.12052,0.069938,0.37034,0.095989,1.2605454244237704
302.65,778.59,82.109,3.5592,0.089803,0.13832,0.043935,0.1129,0.21861,0.12061,0.069739,0.37092,0.09601,1.2608384333554785
303.5,774.33,82.094,3.5563,0.089732,0.1383,0.043922,0.1129,0.21862,0.12058,0.069651,0.3728,0.096018,1.2625328612776519
304.36,778.32,82.061,3.5405,0.089958,0.13833,0.043895,0.11296,0.21864,0.12051,0.069966,0.37243,0.095987,1.2626750120607173
304.47,778.28,82.035,3.5356,0.09001,0.13834,0.043886,0.11297,0.21865,0.12048,0.070042,0.37264,0.09598,1.2629971832279663
304.35,779.54,82.111,3.5496,0.089877,0.13832,0.043912,0.11293,0.21863,0.12056,0.069844,0.37305,0.095998,1.2631175493919038
301.93,829.08,81.765,3.4594,0.091848,0.13859,0.043839,0.11333,0.21868,0.12018,0.0726,0.36864,0.095673,1.2633772420622444
302.0,786.4,82.121,3.4839,0.090824,0.13847,0.043823,0.11316,0.21869,0.1202,0.071185,0.37239,0.095872,1.2646022003989479
305.47,779.62,81.297,3.5165,0.090204,0.13835,0.043854,0.11302,0.21869,0.12042,0.070329,0.37386,0.095977,1.2647062590393747
