Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
432.85,13.272,87.297,2.3142,0.043489,0.10171,0.085036,0.14223,0.22623,0.10274,0.2788,0.11375,0.11852,1.2125031900876717
433.48,13.237,87.792,2.2901,0.043483,0.10196,0.085968,0.14244,0.22639,0.10334,0.27696,0.11374,0.11871,1.2129973140764638
434.22,13.235,87.979,2.2744,0.043477,0.10213,0.086573,0.14258,0.22649,0.10374,0.27589,0.11374,0.11883,1.2134504623498445
434.39,12.971,87.655,2.2886,0.043483,0.10198,0.086026,0.14246,0.2264,0.10339,0.27725,0.11374,0.11872,1.213454337553535
432.68,13.146,87.278,2.3107,0.043489,0.10175,0.085172,0.14226,0.22625,0.10283,0.27956,0.11375,0.11854,1.2136039551725741
435.21,13.191,87.042,2.3041,0.04348,0.10184,0.085438,0.14233,0.22631,0.10302,0.27888,0.11375,0.1186,1.213632954877269
434.13,13.249,88.231,2.2666,0.043475,0.1022,0.086861,0.14265,0.22654,0.10392,0.27575,0.11375,0.11889,1.2140303019458778
434.67,13.05,86.69,2.3281,0.043481,0.10159,0.084504,0.14212,0.22615,0.10242,0.28161,0.11375,0.11843,1.2140416280768531
434.14,13.252,88.234,2.2652,0.043474,0.10221,0.086915,0.14266,0.22655,0.10396,0.2757,0.11375,0.1189,1.2141091194180411
436.94,13.003,87.471,2.2805,0.043476,0.10209,0.086352,0.14254,0.22647,0.10362,0.27714,0.11374,0.11879,1.2142072611872559
